"zone"	"loc"	"rep"	"alpha"	"gen"	"yield"
"middle"	"07bm28"	"R2"	"A3"	"G24984"	670.5083
"middle"	"07bm28"	"R1"	"A3"	"G25512"	674.6083
"middle"	"07bm28"	"R2"	"A7"	"G25512"	652.354
"middle"	"07bm28"	"R1"	"A6"	"G25965"	707.3774
"middle"	"07bm28"	"R2"	"A4"	"G25965"	709.5907
"middle"	"07bm28"	"R1"	"A5"	"G26362"	707.394
"middle"	"07bm28"	"R2"	"A5"	"G26362"	696.4301
"middle"	"07bm28"	"R1"	"A8"	"G26742"	786.8927
"middle"	"07bm28"	"R2"	"A5"	"G26742"	736.6092
"middle"	"07bm28"	"R1"	"A7"	"G26777"	761.0415
"middle"	"07bm28"	"R2"	"A3"	"G26777"	708.6014
"middle"	"07bm28"	"R1"	"A2"	"G27110"	692.6981
"middle"	"07bm28"	"R2"	"A4"	"G27110"	704.2283
"middle"	"07bm28"	"R1"	"A2"	"G27125"	670.5592
"middle"	"07bm28"	"R2"	"A7"	"G27125"	686.9359
"middle"	"07bm28"	"R1"	"A1"	"G27130"	689.2224
"middle"	"07bm28"	"R2"	"A3"	"G27130"	698.4003
"middle"	"07bm28"	"R1"	"A8"	"G27543"	788.4098
"middle"	"07bm28"	"R2"	"A7"	"G27543"	725.8238
"middle"	"07bm28"	"R1"	"A7"	"G27546"	795.2822
"middle"	"07bm28"	"R2"	"A7"	"G27546"	738.4133
"middle"	"07bm28"	"R1"	"A1"	"G27548"	666.759
"middle"	"07bm28"	"R2"	"A6"	"G27548"	653.0706
"middle"	"07bm28"	"R1"	"A7"	"G27590"	737.1625
"middle"	"07bm28"	"R2"	"A2"	"G27590"	701.0746
"middle"	"07bm28"	"R1"	"A8"	"G27592"	760.2206
"middle"	"07bm28"	"R2"	"A8"	"G27592"	698.4141
"middle"	"07bm28"	"R1"	"A3"	"G27593"	738.8303
"middle"	"07bm28"	"R2"	"A3"	"G27593"	745.8668
"middle"	"07bm28"	"R1"	"A6"	"G27599"	783.8106
"middle"	"07bm28"	"R2"	"A5"	"G27599"	759.1236
"middle"	"07bm28"	"R1"	"A7"	"G27600"	790.9763
"middle"	"07bm28"	"R2"	"A4"	"G27600"	718.6309
"middle"	"07bm28"	"R1"	"A1"	"G27605"	665.9293
"middle"	"07bm28"	"R2"	"A5"	"G27605"	659.3141
"middle"	"07bm28"	"R1"	"A2"	"G27609"	540.6745
"middle"	"07bm28"	"R2"	"A5"	"G27609"	540.6745
"middle"	"07bm28"	"R1"	"A2"	"G27669"	687.6542
"middle"	"07bm28"	"R2"	"A8"	"G27669"	730.7976
"middle"	"07bm28"	"R1"	"A4"	"G28128"	736.2982
"middle"	"07bm28"	"R2"	"A5"	"G28128"	722.6712
"middle"	"07bm28"	"R1"	"A6"	"G28209"	721.2472
"middle"	"07bm28"	"R2"	"A8"	"G28209"	710.3126
"middle"	"07bm28"	"R1"	"A8"	"G28949"	797.5202
"middle"	"07bm28"	"R2"	"A1"	"G28949"	788.6785
"middle"	"07bm28"	"R1"	"A3"	"G28950"	723.7861
"middle"	"07bm28"	"R2"	"A5"	"G28950"	703.5342
"middle"	"07bm28"	"R1"	"A4"	"G28954"	672.5353
"middle"	"07bm28"	"R2"	"A7"	"G28954"	635.9557
"middle"	"07bm29"	"R1"	"A7"	"G22455"	348.408
"middle"	"07bm29"	"R2"	"A5"	"G22455"	424.5501
"middle"	"07bm29"	"R1"	"A8"	"G23286"	519.7308
"middle"	"07bm29"	"R2"	"A4"	"G23286"	500.1183
"middle"	"07bm29"	"R1"	"A8"	"G23524"	330.8944
"middle"	"07bm29"	"R2"	"A6"	"G23524"	345.1776
"middle"	"07bm29"	"R1"	"A3"	"G24054"	357.3722
"middle"	"07bm29"	"R2"	"A7"	"G24054"	236.6704
"middle"	"07bm29"	"R2"	"A4"	"G24521"	603.5316
"middle"	"07bm29"	"R2"	"A3"	"G24984"	458.1359
"middle"	"07bm29"	"R1"	"A5"	"G25512"	599.3387
"middle"	"07bm29"	"R2"	"A3"	"G25512"	574.9753
"middle"	"07bm29"	"R2"	"A1"	"G25965"	469.1078
"middle"	"07bm29"	"R1"	"A6"	"G26362"	360.543
"middle"	"07bm29"	"R2"	"A4"	"G26362"	416.1973
"middle"	"07bm29"	"R1"	"A6"	"G26742"	454.3487
"middle"	"07bm29"	"R2"	"A8"	"G26742"	502.9422
"middle"	"07bm29"	"R1"	"A6"	"G26777"	398.1568
"middle"	"07bm29"	"R2"	"A2"	"G26777"	472.0661
"middle"	"07bm29"	"R1"	"A1"	"G27110"	397.6717
"middle"	"07bm29"	"R2"	"A6"	"G27110"	524.7384
"middle"	"07bm29"	"R1"	"A4"	"G27125"	487.0809
"middle"	"07bm29"	"R2"	"A5"	"G27125"	468.0729
"middle"	"07bm29"	"R1"	"A4"	"G27130"	404.6341
"middle"	"07bm29"	"R2"	"A8"	"G27130"	400.0359
"middle"	"07bm29"	"R1"	"A5"	"G27543"	508.0339
"middle"	"07bm29"	"R2"	"A7"	"G27543"	434.7598
"middle"	"07bm29"	"R1"	"A1"	"G27546"	559.9167
"middle"	"07bm29"	"R2"	"A7"	"G27546"	542.8013
"middle"	"07bm29"	"R1"	"A3"	"G27548"	460.16
"middle"	"07bm29"	"R2"	"A4"	"G27548"	518.2855
"middle"	"07bm29"	"R2"	"A3"	"G27590"	505.5382
"middle"	"07bm29"	"R1"	"A5"	"G27592"	514.0704
"middle"	"07bm29"	"R2"	"A3"	"G27592"	531.288
"middle"	"07bm29"	"R1"	"A1"	"G27593"	415.5349
"middle"	"07bm29"	"R2"	"A4"	"G27593"	558.8228
"middle"	"07bm29"	"R1"	"A7"	"G27599"	626.0585
"middle"	"07bm29"	"R2"	"A4"	"G27599"	571.8329
"middle"	"07bm29"	"R1"	"A4"	"G27600"	558.6964
"middle"	"07bm29"	"R2"	"A2"	"G27600"	491.2675
"middle"	"07bm29"	"R2"	"A7"	"G27605"	363.4018
"middle"	"07bm29"	"R1"	"A7"	"G27609"	83.1913
"middle"	"07bm29"	"R2"	"A6"	"G27609"	149.2549
"middle"	"07bm29"	"R2"	"A8"	"G27669"	431.0937
"middle"	"07bm29"	"R1"	"A6"	"G28128"	523.1656
"middle"	"07bm29"	"R2"	"A6"	"G28128"	462.0482
"middle"	"07bm29"	"R1"	"A7"	"G28209"	359.1714
"middle"	"07bm29"	"R2"	"A8"	"G28209"	368.2643
"middle"	"07bm29"	"R1"	"A7"	"G28949"	537.6864
"middle"	"07bm29"	"R2"	"A1"	"G28949"	630.1392
"middle"	"07bm29"	"R1"	"A7"	"G28950"	326.8803
"middle"	"07bm29"	"R2"	"A3"	"G28950"	427.7963
"middle"	"07bm29"	"R2"	"A8"	"G28954"	536.4864
"south"	"07bm30"	"R1"	"A5"	"G22455"	697.1874
"south"	"07bm30"	"R2"	"A3"	"G22455"	645.9877
"south"	"07bm30"	"R1"	"A6"	"G23286"	759.0762
"south"	"07bm30"	"R2"	"A3"	"G23286"	512.1869
"south"	"07bm30"	"R1"	"A6"	"G23524"	644.8328
"south"	"07bm30"	"R2"	"A6"	"G23524"	623.2122
"south"	"07bm30"	"R1"	"A2"	"G24054"	593.0267
"south"	"07bm30"	"R2"	"A2"	"G24054"	430.9506
"south"	"07bm30"	"R1"	"A1"	"G24521"	790.2458
"south"	"07bm30"	"R2"	"A5"	"G24521"	750.6786
"south"	"07bm30"	"R1"	"A3"	"G24984"	588.7325
"south"	"07bm30"	"R2"	"A4"	"G24984"	625.4255
"south"	"07bm30"	"R1"	"A5"	"G25512"	700.247
"south"	"07bm30"	"R2"	"A1"	"G25512"	538.6927
"south"	"07bm30"	"R1"	"A1"	"G25965"	637.5069
"south"	"07bm30"	"R2"	"A3"	"G25965"	413.5608
"south"	"07bm30"	"R1"	"A3"	"G26362"	568.139
"south"	"07bm30"	"R2"	"A3"	"G26362"	445.4423
"south"	"07bm30"	"R1"	"A2"	"G26742"	717.0305
"south"	"07bm30"	"R2"	"A4"	"G26742"	688.4373
"south"	"07bm30"	"R1"	"A3"	"G26777"	294.0247
"south"	"07bm30"	"R2"	"A2"	"G26777"	529.5605
"south"	"07bm30"	"R1"	"A5"	"G27110"	763.8197
"south"	"07bm30"	"R2"	"A2"	"G27110"	640.5346
"south"	"07bm30"	"R1"	"A4"	"G27125"	671.3193
"south"	"07bm30"	"R2"	"A4"	"G27125"	630.6826
"south"	"07bm30"	"R1"	"A5"	"G27130"	611.4437
"south"	"07bm30"	"R2"	"A6"	"G27130"	707.6136
"south"	"07bm30"	"R1"	"A2"	"G27543"	839.6179
"south"	"07bm30"	"R2"	"A1"	"G27543"	726.3318
"south"	"07bm30"	"R1"	"A1"	"G27546"	802.0397
"south"	"07bm30"	"R2"	"A6"	"G27546"	770.4161
"south"	"07bm30"	"R1"	"A6"	"G27548"	803.3323
"south"	"07bm30"	"R2"	"A4"	"G27548"	700.187
"south"	"07bm30"	"R1"	"A2"	"G27590"	719.3896
"south"	"07bm30"	"R2"	"A1"	"G27590"	624.3759
"south"	"07bm30"	"R1"	"A4"	"G27592"	650.1453
"south"	"07bm30"	"R2"	"A3"	"G27592"	551.8987
"south"	"07bm30"	"R1"	"A4"	"G27593"	780.1462
"south"	"07bm30"	"R2"	"A6"	"G27593"	824.3363
"south"	"07bm30"	"R1"	"A2"	"G27599"	761.2306
"south"	"07bm30"	"R2"	"A3"	"G27599"	622.0809
"south"	"07bm30"	"R1"	"A6"	"G27600"	889.3269
"south"	"07bm30"	"R2"	"A5"	"G27600"	716.342
"south"	"07bm30"	"R1"	"A3"	"G27605"	611.1059
"south"	"07bm30"	"R2"	"A5"	"G27605"	602.3914
"south"	"07bm30"	"R1"	"A3"	"G27609"	309.0891
"south"	"07bm30"	"R2"	"A5"	"G27609"	395.5727
"south"	"07bm30"	"R1"	"A1"	"G27669"	583.3843
"south"	"07bm30"	"R2"	"A4"	"G27669"	505.238
"south"	"07bm30"	"R1"	"A3"	"G28128"	815.9065
"south"	"07bm30"	"R2"	"A1"	"G28128"	661.0907
"south"	"07bm30"	"R1"	"A4"	"G28209"	655.4579
"south"	"07bm30"	"R2"	"A3"	"G28209"	532.4584
"south"	"07bm30"	"R1"	"A4"	"G28949"	717.5473
"south"	"07bm30"	"R2"	"A1"	"G28949"	620.5667
"south"	"07bm30"	"R1"	"A6"	"G28950"	551.054
"south"	"07bm30"	"R2"	"A2"	"G28950"	366.6649
"south"	"07bm30"	"R1"	"A6"	"G28954"	726.9928
"south"	"07bm30"	"R2"	"A6"	"G28954"	745.4527
"middle"	"07bm32"	"R1"	"A3"	"G22455"	1000.1913
"middle"	"07bm32"	"R2"	"A1"	"G22455"	1006.558
"middle"	"07bm32"	"R1"	"A1"	"G23286"	1006.3037
"middle"	"07bm32"	"R2"	"A3"	"G23286"	1030.838
"middle"	"07bm32"	"R1"	"A2"	"G23524"	978.1325
"middle"	"07bm32"	"R2"	"A2"	"G23524"	1055.5864
"middle"	"07bm32"	"R1"	"A2"	"G24054"	1031.079
"middle"	"07bm32"	"R2"	"A1"	"G24054"	1133.1633
"middle"	"07bm32"	"R1"	"A4"	"G24521"	1095.8539
"middle"	"07bm32"	"R2"	"A2"	"G24521"	1132.4509
"middle"	"07bm32"	"R1"	"A5"	"G24984"	1058.2291
"middle"	"07bm32"	"R2"	"A1"	"G24984"	1064.7115
"middle"	"07bm32"	"R1"	"A4"	"G25512"	1050.5852
"middle"	"07bm32"	"R2"	"A6"	"G25512"	1013.0481
"middle"	"07bm32"	"R1"	"A6"	"G25965"	1065.1875
"middle"	"07bm32"	"R2"	"A6"	"G25965"	1001.6155
"middle"	"07bm32"	"R1"	"A2"	"G26362"	1042.5822
"middle"	"07bm32"	"R2"	"A4"	"G26362"	1030.6888
"middle"	"07bm32"	"R1"	"A3"	"G26742"	1095.8544
"middle"	"07bm32"	"R2"	"A6"	"G26742"	1029.1096
"middle"	"07bm32"	"R1"	"A5"	"G26777"	1067.8518
"middle"	"07bm32"	"R2"	"A5"	"G26777"	1002.8536
"middle"	"07bm32"	"R1"	"A6"	"G27110"	1098.654
"middle"	"07bm32"	"R2"	"A2"	"G27110"	1143.5935
"middle"	"07bm32"	"R1"	"A2"	"G27125"	989.7357
"middle"	"07bm32"	"R2"	"A3"	"G27125"	1036.4698
"middle"	"07bm32"	"R1"	"A1"	"G27130"	1051.0775
"middle"	"07bm32"	"R2"	"A5"	"G27130"	1030.1766
"middle"	"07bm32"	"R1"	"A3"	"G27543"	1069.2424
"middle"	"07bm32"	"R2"	"A2"	"G27543"	1084.8826
"middle"	"07bm32"	"R1"	"A4"	"G27546"	1068.1483
"middle"	"07bm32"	"R2"	"A5"	"G27546"	1015.6649
"middle"	"07bm32"	"R1"	"A6"	"G27548"	1093.9976
"middle"	"07bm32"	"R2"	"A3"	"G27548"	1020.9295
"middle"	"07bm32"	"R1"	"A1"	"G27590"	1075.7332
"middle"	"07bm32"	"R2"	"A1"	"G27590"	1042.3819
"middle"	"07bm32"	"R1"	"A5"	"G27592"	1042.4085
"middle"	"07bm32"	"R2"	"A2"	"G27592"	1037.4682
"middle"	"07bm32"	"R1"	"A6"	"G27593"	1030.0792
"middle"	"07bm32"	"R2"	"A3"	"G27593"	990.1929
"middle"	"07bm32"	"R1"	"A4"	"G27599"	1131.1246
"middle"	"07bm32"	"R2"	"A5"	"G27599"	1009.6398
"middle"	"07bm32"	"R1"	"A5"	"G27600"	1104.6586
"middle"	"07bm32"	"R2"	"A1"	"G27600"	1069.8956
"middle"	"07bm32"	"R1"	"A2"	"G27605"	1061.195
"middle"	"07bm32"	"R2"	"A4"	"G27605"	1057.9018
"middle"	"07bm32"	"R1"	"A3"	"G27609"	1005.3361
"middle"	"07bm32"	"R2"	"A6"	"G27609"	1027.687
"middle"	"07bm32"	"R1"	"A6"	"G27669"	1042.0638
"middle"	"07bm32"	"R2"	"A4"	"G27669"	1044.4943
"middle"	"07bm32"	"R1"	"A4"	"G28128"	1146.2375
"middle"	"07bm32"	"R2"	"A4"	"G28128"	1091.4462
"middle"	"07bm32"	"R1"	"A3"	"G28209"	1145.422
"middle"	"07bm32"	"R2"	"A5"	"G28209"	1094.0796
"middle"	"07bm32"	"R1"	"A1"	"G28949"	1063.7108
"middle"	"07bm32"	"R2"	"A4"	"G28949"	1102.9247
"middle"	"07bm32"	"R1"	"A2"	"G28950"	1070.4734
"middle"	"07bm32"	"R2"	"A5"	"G28950"	1023.2614
"middle"	"07bm32"	"R1"	"A1"	"G28954"	993.0285
"middle"	"07bm32"	"R2"	"A2"	"G28954"	1021.8775
"south"	"07bm35"	"R1"	"A1"	"G22455"	805.7658
"south"	"07bm35"	"R2"	"A1"	"G22455"	804.4704
"south"	"07bm35"	"R1"	"A1"	"G23286"	942.9373
"south"	"07bm35"	"R2"	"A2"	"G23286"	519.1671
"south"	"07bm35"	"R1"	"A2"	"G23524"	862.7177
"south"	"07bm35"	"R2"	"A4"	"G23524"	796.9559
"south"	"07bm35"	"R1"	"A5"	"G24054"	646.6505
"south"	"07bm35"	"R2"	"A5"	"G24054"	767.7773
"south"	"07bm35"	"R1"	"A1"	"G24521"	904.852
"south"	"07bm35"	"R2"	"A6"	"G24521"	884.6863
"south"	"07bm35"	"R1"	"A6"	"G24984"	762.739
"south"	"07bm35"	"R2"	"A4"	"G24984"	776.3246
"south"	"07bm35"	"R1"	"A5"	"G25512"	720.3415
"south"	"07bm35"	"R2"	"A3"	"G25512"	876.2652
"south"	"07bm35"	"R1"	"A6"	"G25965"	705.8098
"south"	"07bm35"	"R2"	"A6"	"G25965"	864.7468
"south"	"07bm35"	"R1"	"A1"	"G26362"	825.5382
"south"	"07bm35"	"R2"	"A3"	"G26362"	893.5237
"south"	"07bm35"	"R1"	"A4"	"G26742"	866.3506
"south"	"07bm35"	"R2"	"A2"	"G26742"	814.2393
"south"	"07bm35"	"R1"	"A2"	"G26777"	860.7396
"south"	"07bm35"	"R2"	"A3"	"G26777"	906.0417
"south"	"07bm35"	"R1"	"A5"	"G27110"	781.9599
"south"	"07bm35"	"R2"	"A4"	"G27110"	956.307
"south"	"07bm35"	"R1"	"A5"	"G27125"	818.9734
"south"	"07bm35"	"R2"	"A6"	"G27125"	880.7214
"south"	"07bm35"	"R1"	"A6"	"G27130"	775.6578
"south"	"07bm35"	"R2"	"A1"	"G27130"	892.6528
"south"	"07bm35"	"R1"	"A6"	"G27543"	854.4061
"south"	"07bm35"	"R2"	"A2"	"G27543"	893.2428
"south"	"07bm35"	"R1"	"A2"	"G27546"	842.3095
"south"	"07bm35"	"R2"	"A6"	"G27546"	907.1026
"south"	"07bm35"	"R1"	"A3"	"G27548"	908.1135
"south"	"07bm35"	"R2"	"A4"	"G27548"	908.1135
"south"	"07bm35"	"R1"	"A4"	"G27590"	865.5855
"south"	"07bm35"	"R2"	"A3"	"G27590"	925.1026
"south"	"07bm35"	"R1"	"A3"	"G27592"	823.8256
"south"	"07bm35"	"R2"	"A1"	"G27592"	782.31
"south"	"07bm35"	"R1"	"A3"	"G27593"	916.7386
"south"	"07bm35"	"R2"	"A6"	"G27593"	860.4533
"south"	"07bm35"	"R1"	"A2"	"G27599"	916.534
"south"	"07bm35"	"R2"	"A5"	"G27599"	956.0733
"south"	"07bm35"	"R1"	"A1"	"G27600"	901.7224
"south"	"07bm35"	"R2"	"A5"	"G27600"	901.7224
"south"	"07bm35"	"R1"	"A3"	"G27605"	843.7386
"south"	"07bm35"	"R2"	"A2"	"G27605"	856.7192
"south"	"07bm35"	"R1"	"A4"	"G27609"	256.902
"south"	"07bm35"	"R2"	"A5"	"G27609"	345.2121
"south"	"07bm35"	"R1"	"A6"	"G27669"	687.8432
"south"	"07bm35"	"R2"	"A3"	"G27669"	933.3164
"south"	"07bm35"	"R1"	"A3"	"G28128"	936.137
"south"	"07bm35"	"R2"	"A3"	"G28128"	994.6456
"south"	"07bm35"	"R1"	"A6"	"G28209"	1018.5923
"south"	"07bm35"	"R2"	"A5"	"G28209"	892.4809
"south"	"07bm35"	"R1"	"A4"	"G28949"	912.4263
"south"	"07bm35"	"R2"	"A4"	"G28949"	1035.3774
"south"	"07bm35"	"R1"	"A2"	"G28950"	568.7687
"south"	"07bm35"	"R2"	"A1"	"G28950"	676.2028
"south"	"07bm35"	"R1"	"A5"	"G28954"	681.5439
"south"	"07bm35"	"R2"	"A2"	"G28954"	850.7993
"middle"	"07bm36"	"R1"	"A1"	"G22455"	553.0173
"middle"	"07bm36"	"R2"	"A2"	"G22455"	610.7952
"middle"	"07bm36"	"R1"	"A2"	"G23286"	597.8606
"middle"	"07bm36"	"R2"	"A2"	"G23286"	643.3725
"middle"	"07bm36"	"R1"	"A1"	"G23524"	501.4287
"middle"	"07bm36"	"R2"	"A5"	"G23524"	563.8472
"middle"	"07bm36"	"R1"	"A2"	"G24054"	623.8858
"middle"	"07bm36"	"R2"	"A6"	"G24054"	671.5581
"middle"	"07bm36"	"R1"	"A6"	"G24521"	678.6435
"middle"	"07bm36"	"R2"	"A6"	"G24521"	709.9655
"middle"	"07bm36"	"R1"	"A4"	"G24984"	626.2297
"middle"	"07bm36"	"R2"	"A1"	"G24984"	630.4326
"middle"	"07bm36"	"R1"	"A4"	"G25512"	644.6927
"middle"	"07bm36"	"R2"	"A5"	"G25512"	665.2243
"middle"	"07bm36"	"R1"	"A5"	"G25965"	566.5412
"middle"	"07bm36"	"R2"	"A3"	"G25965"	618.8051
"middle"	"07bm36"	"R1"	"A6"	"G26362"	591.9179
"middle"	"07bm36"	"R2"	"A3"	"G26362"	551.0959
"middle"	"07bm36"	"R1"	"A3"	"G26742"	607.9852
"middle"	"07bm36"	"R2"	"A2"	"G26742"	639.0048
"middle"	"07bm36"	"R1"	"A1"	"G26777"	607.8192
"middle"	"07bm36"	"R2"	"A1"	"G26777"	620.266
"middle"	"07bm36"	"R1"	"A1"	"G27110"	628.6755
"middle"	"07bm36"	"R2"	"A4"	"G27110"	716.1072
"middle"	"07bm36"	"R1"	"A1"	"G27125"	670.3496
"middle"	"07bm36"	"R2"	"A4"	"G27125"	722.2342
"middle"	"07bm36"	"R1"	"A2"	"G27130"	616.0721
"middle"	"07bm36"	"R2"	"A1"	"G27130"	676.2273
"middle"	"07bm36"	"R1"	"A6"	"G27543"	642.3044
"middle"	"07bm36"	"R2"	"A6"	"G27543"	681.2941
"middle"	"07bm36"	"R1"	"A4"	"G27546"	640.3022
"middle"	"07bm36"	"R2"	"A6"	"G27546"	667.4159
"middle"	"07bm36"	"R1"	"A5"	"G27548"	574.9997
"middle"	"07bm36"	"R2"	"A4"	"G27548"	604.061
"middle"	"07bm36"	"R1"	"A5"	"G27590"	620.4089
"middle"	"07bm36"	"R2"	"A2"	"G27590"	587.4304
"middle"	"07bm36"	"R1"	"A2"	"G27592"	648.2647
"middle"	"07bm36"	"R2"	"A3"	"G27592"	675.2757
"middle"	"07bm36"	"R1"	"A2"	"G27593"	573.2357
"middle"	"07bm36"	"R2"	"A5"	"G27593"	641.2816
"middle"	"07bm36"	"R1"	"A4"	"G27599"	663.6467
"middle"	"07bm36"	"R2"	"A6"	"G27599"	673.8253
"middle"	"07bm36"	"R1"	"A5"	"G27600"	685.7915
"middle"	"07bm36"	"R2"	"A5"	"G27600"	687.876
"middle"	"07bm36"	"R1"	"A5"	"G27605"	624.9268
"middle"	"07bm36"	"R2"	"A1"	"G27605"	577.1749
"middle"	"07bm36"	"R1"	"A4"	"G27609"	592.086
"middle"	"07bm36"	"R2"	"A2"	"G27609"	548.6664
"middle"	"07bm36"	"R1"	"A6"	"G27669"	683.3175
"middle"	"07bm36"	"R2"	"A5"	"G27669"	683.3175
"middle"	"07bm36"	"R1"	"A6"	"G28128"	653.1375
"middle"	"07bm36"	"R2"	"A3"	"G28128"	657.3243
"middle"	"07bm36"	"R1"	"A3"	"G28209"	656.8176
"middle"	"07bm36"	"R2"	"A6"	"G28209"	677.3431
"middle"	"07bm36"	"R1"	"A3"	"G28949"	708.7781
"middle"	"07bm36"	"R2"	"A3"	"G28949"	630.7098
"middle"	"07bm36"	"R1"	"A3"	"G28950"	663.7619
"middle"	"07bm36"	"R2"	"A4"	"G28950"	712.8503
"middle"	"07bm36"	"R1"	"A3"	"G28954"	621.4478
"middle"	"07bm36"	"R2"	"A4"	"G28954"	627.6417
"middle"	"07bm37"	"R1"	"A1"	"G22455"	471.4556
"middle"	"07bm37"	"R2"	"A3"	"G22455"	524.3741
"middle"	"07bm37"	"R1"	"A5"	"G23286"	514.7541
"middle"	"07bm37"	"R2"	"A4"	"G23286"	528.7293
"middle"	"07bm37"	"R1"	"A4"	"G23524"	421.7598
"middle"	"07bm37"	"R2"	"A1"	"G23524"	531.2776
"middle"	"07bm37"	"R1"	"A6"	"G24054"	550.8417
"middle"	"07bm37"	"R2"	"A4"	"G24054"	627.4161
"middle"	"07bm37"	"R1"	"A5"	"G24521"	533.4869
"middle"	"07bm37"	"R2"	"A2"	"G24521"	595.5738
"middle"	"07bm37"	"R1"	"A1"	"G24984"	458.7864
"middle"	"07bm37"	"R2"	"A5"	"G24984"	533.6903
"middle"	"07bm37"	"R1"	"A3"	"G25512"	533.6554
"middle"	"07bm37"	"R2"	"A2"	"G25512"	568.919
"middle"	"07bm37"	"R1"	"A1"	"G25965"	442.019
"middle"	"07bm37"	"R2"	"A6"	"G25965"	593.2982
"middle"	"07bm37"	"R1"	"A2"	"G26362"	436.9607
"middle"	"07bm37"	"R2"	"A1"	"G26362"	575.6783
"middle"	"07bm37"	"R1"	"A2"	"G26742"	615.1059
"middle"	"07bm37"	"R2"	"A3"	"G26742"	499.3213
"middle"	"07bm37"	"R1"	"A6"	"G26777"	533.7167
"middle"	"07bm37"	"R2"	"A2"	"G26777"	579.3951
"middle"	"07bm37"	"R1"	"A4"	"G27110"	649.9618
"middle"	"07bm37"	"R2"	"A1"	"G27110"	667.4608
"middle"	"07bm37"	"R1"	"A2"	"G27125"	627.9608
"middle"	"07bm37"	"R2"	"A6"	"G27125"	645.1317
"middle"	"07bm37"	"R1"	"A4"	"G27130"	544.2721
"middle"	"07bm37"	"R2"	"A6"	"G27130"	530.2565
"middle"	"07bm37"	"R1"	"A2"	"G27543"	560.9686
"middle"	"07bm37"	"R2"	"A5"	"G27543"	584.5387
"middle"	"07bm37"	"R1"	"A4"	"G27546"	505.6812
"middle"	"07bm37"	"R2"	"A6"	"G27546"	615.9245
"middle"	"07bm37"	"R1"	"A4"	"G27548"	453.0373
"middle"	"07bm37"	"R2"	"A2"	"G27548"	492.3314
"middle"	"07bm37"	"R1"	"A6"	"G27590"	456.6899
"middle"	"07bm37"	"R2"	"A1"	"G27590"	565.6464
"middle"	"07bm37"	"R1"	"A6"	"G27592"	526.1718
"middle"	"07bm37"	"R2"	"A6"	"G27592"	580.6851
"middle"	"07bm37"	"R1"	"A1"	"G27593"	572.7811
"middle"	"07bm37"	"R2"	"A2"	"G27593"	649.7937
"middle"	"07bm37"	"R1"	"A3"	"G27599"	607.1315
"middle"	"07bm37"	"R2"	"A1"	"G27599"	646.7809
"middle"	"07bm37"	"R1"	"A3"	"G27600"	679.5012
"middle"	"07bm37"	"R2"	"A3"	"G27600"	707.2875
"middle"	"07bm37"	"R1"	"A3"	"G27605"	463.8363
"middle"	"07bm37"	"R2"	"A6"	"G27605"	548.3779
"middle"	"07bm37"	"R1"	"A1"	"G27609"	326.7883
"middle"	"07bm37"	"R2"	"A4"	"G27609"	336.6313
"middle"	"07bm37"	"R1"	"A5"	"G27669"	684.0086
"middle"	"07bm37"	"R2"	"A5"	"G27669"	644.7823
"middle"	"07bm37"	"R1"	"A5"	"G28128"	539.2194
"middle"	"07bm37"	"R2"	"A5"	"G28128"	532.0931
"middle"	"07bm37"	"R1"	"A2"	"G28209"	636.1497
"middle"	"07bm37"	"R2"	"A4"	"G28209"	664.5281
"middle"	"07bm37"	"R1"	"A3"	"G28949"	509.298
"middle"	"07bm37"	"R2"	"A5"	"G28949"	553.2829
"middle"	"07bm37"	"R1"	"A5"	"G28950"	485.6039
"middle"	"07bm37"	"R2"	"A3"	"G28950"	508.7279
"middle"	"07bm37"	"R1"	"A4"	"G28954"	523.0682
"middle"	"07bm37"	"R2"	"A4"	"G28954"	608.6612
"north"	"07bm38"	"R1"	"A2"	"G22455"	960.3697
"north"	"07bm38"	"R2"	"A6"	"G22455"	886.4951
"north"	"07bm38"	"R1"	"A3"	"G23286"	990.4329
"north"	"07bm38"	"R2"	"A2"	"G23286"	995.3604
"north"	"07bm38"	"R1"	"A1"	"G23524"	866.0634
"north"	"07bm38"	"R2"	"A5"	"G23524"	811.9344
"north"	"07bm38"	"R1"	"A4"	"G24054"	1060.8452
"north"	"07bm38"	"R2"	"A1"	"G24054"	1065.7793
"north"	"07bm38"	"R1"	"A5"	"G24521"	1029.4521
"north"	"07bm38"	"R2"	"A3"	"G24521"	930.4664
"north"	"07bm38"	"R1"	"A2"	"G24984"	955.3176
"north"	"07bm38"	"R2"	"A2"	"G24984"	1004.5608
"north"	"07bm38"	"R1"	"A6"	"G25512"	956.6452
"north"	"07bm38"	"R2"	"A4"	"G25512"	883.0572
"north"	"07bm38"	"R1"	"A4"	"G25965"	1015.1403
"north"	"07bm38"	"R2"	"A4"	"G25965"	901.7994
"north"	"07bm38"	"R1"	"A6"	"G26362"	987.6855
"north"	"07bm38"	"R2"	"A6"	"G26362"	879.0401
"north"	"07bm38"	"R1"	"A6"	"G26742"	1026.2411
"north"	"07bm38"	"R2"	"A1"	"G26742"	991.5373
"north"	"07bm38"	"R1"	"A1"	"G26777"	917.248
"north"	"07bm38"	"R2"	"A4"	"G26777"	838.3449
"north"	"07bm38"	"R1"	"A1"	"G27110"	953.8194
"north"	"07bm38"	"R2"	"A2"	"G27110"	1003.2401
