"study"	"year"	"loc"	"elev"	"region"	"trt"	"yield"	"mold"	"sclerotia"
"S17"	2010	"Silvania"	1050	"Northern"	"T08"	2524	6.4	521
"S17"	2010	"Silvania"	1050	"Northern"	"T09"	2676	6.1	682
"S26"	2011	"Silvania"	1050	"Northern"	"T01"	2935	36.8	4556
"S26"	2011	"Silvania"	1050	"Northern"	"T02"	3892	14.8	3970
"S26"	2011	"Silvania"	1050	"Northern"	"T03"	4026	12.3	1030
"S26"	2011	"Silvania"	1050	"Northern"	"T04"	3952	25.8	4790
"S26"	2011	"Silvania"	1050	"Northern"	"T05"	4250	6.3	660
"S26"	2011	"Silvania"	1050	"Northern"	"T06"	4120	8.8	680
"S26"	2011	"Silvania"	1050	"Northern"	"T07"	4379	6	226
"S26"	2011	"Silvania"	1050	"Northern"	"T08"	4244	5	166
"S26"	2011	"Silvania"	1050	"Northern"	"T09"	4275	5.8	260
"S26"	2011	"Silvania"	1050	"Northern"	"T10"	4394	9.3	16
"S26"	2011	"Silvania"	1050	"Northern"	"T11"	3535	30	3080
"S12"	2010	"Uberlandia"	947	"Northern"	"T01"	2163	32	4370
"S12"	2010	"Uberlandia"	947	"Northern"	"T02"	3227	8.2	1764
"S12"	2010	"Uberlandia"	947	"Northern"	"T03"	2903	2	100
"S12"	2010	"Uberlandia"	947	"Northern"	"T04"	3110	5.5	5533
"S12"	2010	"Uberlandia"	947	"Northern"	"T05"	2993	4.5	3247
"S12"	2010	"Uberlandia"	947	"Northern"	"T06"	3317	1	2105
"S12"	2010	"Uberlandia"	947	"Northern"	"T07"	2997	3.4	1163
"S12"	2010	"Uberlandia"	947	"Northern"	"T08"	3227	0.7	481
"S12"	2010	"Uberlandia"	947	"Northern"	"T09"	2853	2.7	2606
"S12"	2010	"Uberlandia"	947	"Northern"	"T10"	2953	1	641
"S12"	2010	"Uberlandia"	947	"Northern"	"T11"	2823	7.7	6014
"S12"	2010	"Uberlandia"	947	"Northern"	"T12"	2923	11.6	4510
"S20"	2010	"Uberlandia"	947	"Northern"	"T01"	1783.3	31	5850
"S20"	2010	"Uberlandia"	947	"Northern"	"T02"	2685	6.5	1740
"S20"	2010	"Uberlandia"	947	"Northern"	"T03"	2580	7.9	700
"S20"	2010	"Uberlandia"	947	"Northern"	"T04"	2507.5	8.3	2180
"S20"	2010	"Uberlandia"	947	"Northern"	"T05"	2947.5	4.8	1110
"S20"	2010	"Uberlandia"	947	"Northern"	"T06"	2445	8	1870
"S20"	2010	"Uberlandia"	947	"Northern"	"T07"	2455	9.5	1250
"S20"	2010	"Uberlandia"	947	"Northern"	"T08"	2660	7	1460
"S20"	2010	"Uberlandia"	947	"Northern"	"T09"	2760	6.5	1780
"S32"	2012	"Uberlandia"	947	"Northern"	"T01"	2792	46.3	4308
"S32"	2012	"Uberlandia"	947	"Northern"	"T02"	3447	16.5	3290
"S32"	2012	"Uberlandia"	947	"Northern"	"T03"	3350	21	1604
"S32"	2012	"Uberlandia"	947	"Northern"	"T04"	3767	21	1771
"S32"	2012	"Uberlandia"	947	"Northern"	"T05"	3492	16.8	596
"S32"	2012	"Uberlandia"	947	"Northern"	"T06"	3441	23.3	1242
"S32"	2012	"Uberlandia"	947	"Northern"	"T07"	3206	15.8	771
"S32"	2012	"Uberlandia"	947	"Northern"	"T08"	3391	20	292
"S32"	2012	"Uberlandia"	947	"Northern"	"T09"	3083	13.8	829
"S32"	2012	"Uberlandia"	947	"Northern"	"T10"	3154	11.5	496
"S32"	2012	"Uberlandia"	947	"Northern"	"T11"	3133	18.8	7544
