year	plot	grain	straw
1910	P18	0.74	1.42
1910	P19	1.47	2.95
1911	P02	2.84	4.69
1911	P03	0.94	1.23
1911	P05	1.12	1.61
1911	P06	1.32	2.24
1911	P07	1.98	3.46
1911	P08	2.83	4.48
1911	P09	2.32	3.64
1911	P10	1.76	2.16
1911	P11	1.49	1.91
1911	P12	1.98	2.59
1911	P13	2.27	3.44
1911	P14	1.8	2.38
1911	P15	1.86	2.8
1911	P16	3.16	5.32
1911	P17	1.05	1.47
1911	P18	2.11	3.09
1911	P19	2.19	3.1
1912	P02	1.39	2.44
1912	P03	0.35	0.71
1912	P05	0.44	0.73
1912	P06	0.21	0.49
1912	P07	0.57	1.06
1912	P08	0.81	1.69
1912	P09	0.76	1.4
1912	P10	0.24	0.43
1912	P11	0.23	0.55
1912	P12	0.47	1
1912	P13	0.52	1.19
1912	P14	0.29	0.73
1912	P15	0.42	0.89
1912	P16	0.87	1.89
1912	P17	0.51	0.94
1912	P18	0.47	0.9
1912	P19	0.59	1.09
1913	P02	1.7	3.74
1913	P03	0.39	0.55
1913	P05	0.52	0.79
1913	P06	0.86	1.62
1913	P07	1.27	3.14
1913	P08	2	3.81
1913	P09	1.21	2.45
1913	P10	0.86	1.64
1913	P11	0.95	1.73
1913	P12	1.41	2.69
1913	P13	1.44	3.64
1913	P14	1.26	2.54
1913	P15	1.53	2.91
1913	P16	1.7	4.12
1913	P17	0.55	0.88
1913	P18	1.5	3.44
1913	P19	1.48	2.74
1914	P02	2.26	4.94
1914	P03	0.45	0.65
1914	P05	0.74	0.97
1914	P06	1.31	2
1914	P07	1.85	3.42
1914	P08	2.2	5.27
1914	P09	1.43	2.49
1914	P10	0.98	1.58
1914	P11	1.23	2.03
1914	P12	1.79	2.76
1914	P13	1.49	2.72
1914	P14	1.2	2.13
1914	P15	1.53	2.83
1914	P16	1.53	3.29
1914	P17	1.25	2.46
1914	P18	0.42	0.56
1914	P19	0.77	1.5
1915	P02	2.78	5.14
1915	P03	0.99	1.56
1915	P05	1.27	1.98
1915	P06	2.11	3.45
1915	P07	2.68	4.33
1915	P08	2.98	5.14
1915	P09	2.47	4.04
1915	P10	1.63	2.56
1915	P11	2.34	3.45
1915	P12	2.7	4.06
1915	P13	2.6	4.77
1915	P14	2.46	3.89
1915	P15	1.51	2.96
1915	P16	2.61	5.33
1915	P17	1.27	2.36
1915	P18	1.9	3.51
1915	P19	2.04	3.42
1916	P02	2.01	4.41
1916	P03	0.84	1.45
1916	P05	1.24	2.05
1916	P06	1.38	2.54
1916	P07	1.85	4.34
1916	P08	1.76	4.64
1916	P09	1.65	3.69
1916	P10	1.33	3.02
1916	P11	1.08	3
1916	P12	1.44	3.64
1916	P13	1.61	4.02
1916	P14	1.32	3.46
1916	P15	1.32	2.79
1916	P16	1.57	4.04
1916	P17	1.49	3.76
1916	P18	0.91	1.61
1916	P19	1.32	2.47
1917	P02	1.23	1.93
1917	P03	0.62	0.7
1917	P05	0.69	0.88
1917	P06	1.42	1.82
1917	P07	1.81	2.35
1917	P08	2.13	3.21
1917	P09	1.57	2.31
1917	P10	0.93	1.23
1917	P11	1.1	1.43
1917	P12	1.35	1.71
1917	P13	1.97	2.55
1917	P14	1.41	1.79
1917	P15	1.95	2.64
1917	P16	2	3
1917	P17	0.79	0.95
1917	P18	1.63	1.99
1917	P19	0.89	1.21
1918	P02	2.87	5.21
1918	P03	0.85	1.19
1918	P05	0.75	1.26
1918	P06	1.3	2.44
1918	P07	2.09	4.33
1918	P08	2.39	5.64
1918	P09	1.9	3.55
1918	P10	1.33	2.24
1918	P11	1.6	2.68
1918	P12	2.02	3.34
1918	P13	1.9	3.69
1918	P14	2.04	3.54
1918	P15	2.07	4.04
1918	P16	2.43	5.23
1918	P17	1.69	3.08
1918	P18	1.21	1.43
1918	P19	1.35	1.91
1919	P02	2.12	2.71
1919	P03	0.73	0.9
1919	P05	0.73	0.92
1919	P06	1.38	1.86
1919	P07	2.24	2.9
1919	P08	2.6	3.7
1919	P09	1.66	2.28
1919	P10	1.23	1.68
1919	P11	1.11	2
1919	P12	1.47	2.27
1919	P13	2.06	3.18
1919	P14	1.77	2.68
1919	P15	1.58	2.14
1919	P16	2.48	3.72
1919	P17	0.95	1.1
1919	P18	2.2	2.96
1919	P19	0.95	1.3
1920	P02	2.39	5.55
1920	P03	0.66	1.04
1920	P05	0.63	1.02
1920	P06	1.12	1.95
1920	P07	1.95	3.9
1920	P08	2.2	5.5
1920	P09	1.85	3.33
1920	P10	1.11	2.32
1920	P11	1.01	2.55
1920	P12	1.48	3.51
1920	P13	2.02	4.31
1920	P14	1.36	3.44
1920	P15	1.29	2.97
1920	P16	1.9	4.13
1920	P17	1.44	2.55
1920	P18	0.49	0.92
1920	P19	0.94	1.58
1921	P02	2.23	4.7
1921	P03	0.76	0.98
1921	P05	0.65	0.83
1921	P06	1.14	1.95
1921	P07	1.57	3.28
1921	P08	1.7	4.01
1921	P09	1.23	2.42
1921	P10	1.23	2.02
1921	P11	0.81	2.14
1921	P12	1.21	2.72
1921	P13	1.35	3.25
1921	P14	1.34	2.78
1921	P15	1.6	3.21
1921	P16	1.79	3.99
1921	P17	0.78	1.09
1921	P18	1.82	3.22
1921	P19	1.39	2.48
1922	P02	2.73	4.46
1922	P03	0.63	0.96
1922	P05	0.75	1.21
1922	P06	1.14	1.83
1922	P07	1.84	3.38
1922	P08	1.86	4.2
1922	P09	1.45	2.37
1922	P10	0.79	1.69
1922	P11	0.46	2.02
1922	P12	0.73	2.39
1922	P13	1.62	3.02
1922	P14	0.78	2.25
1922	P15	1.08	2.76
1922	P16	2.01	4.03
1922	P17	1.57	2.9
1922	P18	0.96	1.72
1922	P19	1.19	2.64
1923	P02	1.51	4.43
1923	P03	0.32	0.46
1923	P05	0.31	0.52
1923	P06	0.57	1.23
1923	P07	1.15	3.34
1923	P08	1.36	4.32
1923	P09	0.74	2.36
1923	P10	0.69	2.13
1923	P11	0.71	2.67
1923	P12	0.87	2.7
1923	P13	1.05	3.27
1923	P14	1.02	3.02
1923	P15	1.26	2.87
1923	P16	1.25	3.74
1923	P17	0.34	0.87
1923	P18	1.06	2.88
1923	P19	1.18	2.82
1924	P02	1.01	2.62
1924	P03	0.17	0.41
1924	P05	0.3	0.48
1924	P06	0.71	1.18
1924	P07	1.64	3.37
1924	P08	1.76	4.32
1924	P09	0.95	2.01
1924	P10	0.43	1.24
1924	P11	0.45	1.84
1924	P12	0.75	2.05
1924	P13	0.99	2.43
1924	P14	0.77	2.05
1924	P15	0.5	1.56
1924	P16	1.55	3.67
1924	P17	0.57	1.3
1924	P18	0.58	0.91
1924	P19	0.46	1.64
1925	P02	1.34	2.76
1925	P03	0.46	0.77
1925	P05	0.52	0.68
1925	P06	0.76	1.09
1925	P07	1.38	2.38
1925	P08	1.43	2.94
1925	P09	1.11	2.1
1925	P10	1.08	1.48
1925	P11	1.39	1.94
1925	P12	1.46	2.33
1925	P13	1.63	2.88
1925	P14	1.47	2.65
1925	P15	1.3	1.91
1925	P16	1.57	2.96
1925	P17	0.75	0.95
1925	P18	1.17	1.97
1925	P19	0.7	1.48
