site	year	mo	cdd	hdd	precip	min	max
Waseca	1931	3	0	1016	0.91	23.2	41.2
Waseca	1931	4	3	458	1.16	36.1	63.5
Waseca	1931	5	45	309	2.62	43	69.8
Waseca	1931	6	291	32	5.44	61.7	85.5
Waseca	1931	7	302	5	1.74	61.7	87.4
Waseca	1931	8	205	27	3.05	57.6	83.8
Waseca	1931	9	187	79	3.56	56.8	80.2
Waseca	1931	10	7	351	4.23	43.7	64
Waseca	1931	11	0	748	4.4	30.9	49.1
Waseca	1931	12	0	1073	0.67	24.1	36.7
Waseca	1932	1	0	1519	2.54	6.6	25.2
Waseca	1932	2	0	1302	0.73	9.7	30.4
Waseca	1932	3	0	1311	0.57	14	31.3
Waseca	1932	4	0	539	2.58	36	58.1
Waseca	1932	5	37	200	4.52	48	71.2
Waseca	1932	6	169	5	1.76	59.2	81.5
Waseca	1932	7	279	6	2.11	60.6	86.9
Waseca	1932	8	204	10	3.3	59	83.5
Waseca	1932	9	19	184	0.56	45.7	73.2
Waseca	1932	10	2	577	0.81	35.4	57.4
Waseca	1932	11	0	1034	2.14	20.8	40.1
Waseca	1932	12	0	1467	1.11	8.1	27.1
Waseca	1933	1	0	1226	1.56	15.8	35.1
Waseca	1933	2	0	1446	0.89	2.1	24.4
Waseca	1933	3	0	1043	2.85	22.5	40.1
Waseca	1933	4	0	582	1.24	34.5	56.7
Waseca	1933	5	31	249	2.76	47.3	68.5
Waseca	1933	6	357	15	1.56	61.9	90.9
Waseca	1933	7	315	0	5.89	62.8	87.4
Waseca	1933	8	123	15	1.34	54.9	81.9
Waseca	1933	9	130	69	4.41	55.8	78.1
Waseca	1933	10	2	544	0.88	35.6	59.4
Waseca	1933	11	3	990	0.6	21.9	42.1
Waseca	1933	12	0	1424	0.65	9.7	28.4
Waseca	1934	1	0	1362	0.72	12.2	29.7
Waseca	1934	2	0	1228	0	10.9	31.3
Waseca	1934	3	0	1060	1.4	18.1	43.3
Waseca	1934	4	11	591	1.75	33.3	57.9
Waseca	1934	5	225	85	0.14	54.7	84.2
Waseca	1934	6	270	8	2.37	59.7	87.6
Waseca	1934	7	321	1	4.38	63.3	87.1
Waseca	1934	8	195	67	1.96	56.1	82
Waseca	1934	9	24	229	4.1	46.4	70
Waseca	1934	10	7	338	1.47	42.4	66
Waseca	1934	11	0	807	2.78	29.8	46
Waseca	1934	12	0	1574	1.5	4.6	23.7
Waseca	1935	1	0	1656	2.04	1.9	21.2
Waseca	1935	2	0	1119	1.14	17.8	32.2
Waseca	1935	3	0	912	1.32	26.1	45
Waseca	1935	4	0	639	1.95	34.7	52.7
Waseca	1935	5	0	351	4.22	43.7	63.5
Waseca	1935	6	71	110	5.14	52.9	74.5
Waseca	1935	7	383	0	1.5	65.5	89.2
Waseca	1935	8	197	62	10.11	56.5	82.2
Waseca	1935	9	73	156	0.81	49.3	75.7
Waseca	1935	10	1	548	2.93	35.1	59.5
Waseca	1935	11	0	1087	0.68	20.3	37
Waseca	1935	12	0	1504	0.68	9	23.9
Waseca	1936	1	0	1922	0.9	-6.9	12.7
Waseca	1936	2	0	1862	2.41	-12.5	9.3
Waseca	1936	3	0	1102	2.5	20.7	38.1
Waseca	1936	4	0	745	0.85	29.1	51.1
Waseca	1936	5	62	103	2.86	50.7	76.5
Waseca	1936	6	93	75	1.41	52.5	78.6
Waseca	1936	7	440	0	1.03	64.6	93.7
Waseca	1936	8	299	5	4.51	60.8	88
Waseca	1936	9	123	116	1.42	52.7	77.7
Waseca	1936	10	0	589	0.34	33.3	58.6
Waseca	1936	11	0	1036	0.97	20.5	40.5
Waseca	1936	12	0	1310	1.07	12.9	32.5
Duluth	1927	1	0	1693	0.38	2.1	18.5
Duluth	1927	2	0	1342	1.07	8.1	26.1
Duluth	1927	3	0	1047	1.42	24.4	37.9
Duluth	1927	4	0	792	3.25	32.4	44.8
Duluth	1927	5	0	649	4.4	37.9	50
Duluth	1927	6	23	266	4.52	47.5	66.4
Duluth	1927	7	42	101	5.19	54.3	71.8
Duluth	1927	8	17	145	1.51	52	69.6
Duluth	1927	9	26	239	3.9	51.1	64.6
Duluth	1927	10	0	574	1.05	38.7	54.3
Duluth	1927	11	0	1110	2.02	21.2	34.7
Duluth	1927	12	0	1796	1.42	-1.7	15.6
Duluth	1928	1	0	1604	0.41	5.2	21.2
Duluth	1928	2	0	1425	0.2	7.3	24.3
Duluth	1928	3	0	1232	0.6	17.1	33.3
Duluth	1928	4	0	894	2.32	27.1	43.2
Duluth	1928	5	0	372	1.29	43	63
Duluth	1928	6	11	287	5.77	46.9	64.6
Duluth	1928	7	71	103	6.81	55	72.9
Duluth	1928	8	83	85	5.2	56.7	73
Duluth	1928	9	3	345	3.91	46.8	60.4
Duluth	1928	10	0	609	2.77	38.1	52.5
Duluth	1928	11	0	878	0.17	29.1	42.3
Duluth	1928	12	0	1258	1.04	16.3	29.1
Duluth	1929	1	0	1954	1.22	-9.6	9.3
Duluth	1929	2	0	1617	0.41	-1.5	15.8
Duluth	1929	3	0	1100	1.6	21	37.9
Duluth	1929	4	0	769	1.63	32.4	46.2
Duluth	1929	5	0	589	2.85	37.8	54.1
Duluth	1929	6	30	239	2.7	48.4	67.6
Duluth	1929	7	123	56	2.75	57.6	76.6
Duluth	1929	8	93	59	0.98	57.4	74.7
Duluth	1929	9	45	336	5.28	47.1	63.3
Duluth	1929	10	0	545	1.43	38.5	56.3
Duluth	1929	11	0	1126	1.34	19.8	35.1
Duluth	1929	12	0	1534	0.96	8.1	22.8
Duluth	1930	1	0	1822	0.49	-4.2	13.6
Duluth	1930	2	0	1194	1.53	12.6	28.8
Duluth	1930	3	0	1209	0.33	16.7	35.2
Duluth	1930	4	0	753	1.34	32.4	47.3
Duluth	1930	5	0	521	4.5	39.7	56.5
Duluth	1930	6	67	82	3.72	53.2	75.6
Duluth	1930	7	117	57	1.44	56.7	77.2
Duluth	1930	8	167	33	0.2	58.8	79.7
Duluth	1930	9	17	266	4.87	47.5	65.8
Duluth	1930	10	0	721	1.5	35.2	48.2
Duluth	1930	11	0	940	2.77	24.4	40.5
Duluth	1930	12	0	1349	0.28	13.3	29.5
Duluth	1931	1	0	1350	0.19	13.6	29.1
Duluth	1931	2	0	1082	0.47	17.8	34.9
Duluth	1931	3	0	1149	1.35	21.7	34
Duluth	1931	4	0	680	0.79	33.4	51.3
Duluth	1931	5	4	450	3.78	39.9	60.1
Duluth	1931	6	51	240	5.91	48.7	67.8
Duluth	1931	7	160	33	1.57	58.6	80.1
Duluth	1931	8	95	97	4.85	56.5	73.2
Duluth	1931	9	47	184	3.46	52	68.7
Duluth	1931	10	4	394	2.72	43.5	61.2
Duluth	1931	11	0	829	3.41	30.2	44.4
Duluth	1932	1	0	1300	1.11	13.5	27.1
Duluth	1932	2	0	1414	0.36	3.9	24.3
Duluth	1932	3	0	1433	0.43	10	27.5
Duluth	1932	4	0	847	2.45	30.2	43.2
Duluth	1932	5	11	446	4	41.4	59.7
Duluth	1932	6	27	213	2.04	50.4	67.3
Duluth	1932	7	103	64	1.95	56.8	75.6
Duluth	1932	8	117	25	3.41	59.2	76.6
Duluth	1932	9	8	233	0.52	47.8	67.1
Duluth	1932	10	0	672	1.91	36	50.7
Duluth	1932	11	0	1101	3.91	19.9	36.5
Duluth	1932	12	0	1496	0.52	5.7	24.4
Duluth	1933	1	0	1383	0.49	9	28.6
Duluth	1933	2	0	1446	0.67	-0.9	18
Duluth	1933	3	0	1239	0.6	17.4	32.5
Duluth	1933	4	0	829	2.18	30.6	44.1
Duluth	1933	5	0	536	3.27	40.5	54.9
Duluth	1933	6	76	107	2.38	52.7	75.2
Duluth	1933	7	103	68	5.68	57.2	75
Duluth	1933	8	55	55	0.77	56.3	73.6
Duluth	1933	9	22	168	4.63	52	68.2
Duluth	1933	10	0	703	4.2	34	50.5
Duluth	1933	11	0	1153	0.95	19.4	33.6
Duluth	1933	12	0	1626	1.69	3	21.9
Duluth	1934	1	0	1449	0.81	9	27.3
Duluth	1934	2	0	1528	0.37	0.7	20.1
Duluth	1934	3	0	1277	0.69	13.3	31.3
Duluth	1934	4	0	747	1.44	30.9	45.5
Duluth	1934	5	23	392	2.76	42.6	63.5
Duluth	1934	6	31	244	3.73	47.7	67.8
Duluth	1934	7	95	72	1.88	56.5	74.8
Duluth	1934	8	78	150	2.48	53.6	71.6
Duluth	1934	9	0	356	4.27	46.8	59.4
Duluth	1934	10	0	500	5.18	41.5	56.1
Duluth	1934	11	0	871	2.38	29.5	42.3
Duluth	1934	12	0	1480	1.8	5.2	22.1
Duluth	1935	1	0	1742	2.13	-3.5	16.7
Duluth	1935	2	0	1196	0.33	14.5	30
Duluth	1935	3	0	1186	2.85	19.6	33.8
Duluth	1935	4	0	890	1.96	29.8	40.8
Duluth	1935	5	0	533	2.86	39.7	55.8
Duluth	1935	6	13	250	3.56	47.8	66.2
Duluth	1935	7	154	57	5.85	59.5	76.6
Duluth	1935	8	93	76	6.72	58.5	72.7
Duluth	1935	9	0	320	2.08	45.1	63.5
Duluth	1935	10	0	618	2.32	37.2	52.9
Duluth	1935	11	0	1153	1.99	19	34
Duluth	1935	12	0	1454	0.96	11.1	25
Duluth	1936	1	0	1835	1.44	-3.3	14.7
Duluth	1936	2	0	1901	0.82	-10.3	9.1
Duluth	1936	3	0	1195	2.56	19	33.6
Duluth	1936	4	0	905	1.16	26.4	43.2
Duluth	1936	5	5	458	5.8	40.8	59.9
Duluth	1936	6	49	214	1.23	48.9	70
Duluth	1936	7	214	66	0.58	60.8	78.6
Duluth	1936	8	154	60	3.17	60.3	75.6
Duluth	1936	9	21	204	1.87	51.4	66.2
Duluth	1936	10	0	737	1.74	32.5	49.8
Duluth	1936	11	0	1144	2.07	18.3	35.2
Duluth	1936	12	0	1309	2.31	11.8	27.1
