gen	env	amylase	diapow	hddate	lodging	malt	height	protein	yield
SM32	OR91	21.6	69	189	NA	75.6	105	11.3	7.353
SM32	WA91	25	62	182	NA	74.3	133	11.1	4.402
SM32	MTi91	26.8	82	184	NA	71.1	122	13.6	4.379
SM32	MTd91	NA	NA	187	NA	NA	104	NA	1.934
SM32	NY92	NA	NA	182	20	NA	100	NA	5.128
SM32	ON92	NA	NA	201	60	NA	115	NA	2.31
SM32	WA92	31.3	53	160	NA	74.1	84	10.9	3.735
SM32	MA92	NA	NA	201	65	NA	106	NA	6.089
SM32	SKo92	NA	NA	195	90	NA	117	NA	7.7065
SM32	SKg92	NA	NA	192	NA	NA	81	NA	3.7738
SM32	SKk92	NA	NA	199	NA	NA	92	NA	4.9838
SM32	ID92	24.9	96	195	NA	74	94	14.1	3.18
SM35	MN92	29.1	58	158.5	NA	74.1	102	12.8	4.859
SM35	MTi92	28	67	174	40	76	118	12.5	5.552
SM35	MTd92	32.2	67	168.5	45	73.5	82	15.5	4.123
SM35	ID91	28.7	66	183	NA	74.3	124.5	13.7	7.423
SM35	OR91	15.2	41	191	NA	71.4	112.5	13.8	7.349
SM35	WA91	30.9	53	181.5	NA	75.2	129	12.6	6.064
SM35	MTi91	26.6	56	186	NA	71.6	118	12.9	5.269
SM35	MTd91	NA	NA	185	NA	NA	102	NA	4.062
SM35	NY92	NA	NA	180	10	NA	87.5	NA	5.356
SM35	ON92	NA	NA	199	0	NA	105	NA	3.69
SM35	WA92	31.4	53	160	NA	73.3	63.5	12.3	3.186
SM35	MA92	NA	NA	200.5	55	NA	105.5	NA	7.898
SM35	SKo92	NA	NA	192	50	NA	115	NA	8.0819
SM35	SKg92	NA	NA	192	NA	NA	63	NA	4.0391
SM35	SKk92	NA	NA	199	NA	NA	82	NA	5.3522
SM35	ID92	26.7	90	191	NA	71.8	99.1	14.5	4.746
SM39	MN92	28.1	80	155.5	NA	75.3	108	14.2	5.401
SM39	MTi92	26.4	92	173.5	50	75.4	109	14.1	5.096
SM39	MTd92	25.1	87	165.5	45	74.9	81.5	16.5	4.057
SM39	ID91	30	79	179	NA	74	119.4	14.8	6.674
SM39	OR91	19.5	81	189	NA	74.1	110	13.2	5.625
SM39	WA91	27.8	77	177.5	NA	73.8	132	14.1	5.867
SM39	MTi91	29.6	99	185	NA	72.6	109	14.3	4.916
SM39	MTd91	NA	NA	185	NA	NA	99	NA	2.366
SM39	NY92	NA	NA	178	10	NA	85	NA	4.272
SM39	ON92	NA	NA	200	20	NA	105	NA	3.51
SM39	WA92	31.3	84	157.5	NA	71.4	66	14.6	3.052
SM39	MA92	NA	NA	199.5	35	NA	100	NA	6.781
SM39	SKo92	NA	NA	187	20	NA	114	NA	7.1809
SM39	SKg92	NA	NA	190	NA	NA	63	NA	3.8093
SM39	SKk92	NA	NA	197	NA	NA	81	NA	4.8486
SM39	ID92	22.3	119	190	NA	72.3	99.1	15.3	3.705
SM40	MN92	22.2	55	150	NA	75.1	88	12.2	6.117
SM40	MTi92	23.1	63	170.5	95	76.9	99	11.9	6.341
SM40	MTd92	27.6	61	165	15	75.7	62	13	5.236
SM40	ID91	27.2	67	180	NA	74.2	101.6	11.6	9.147
SM40	OR91	20.8	71	190	NA	73.2	95	12.2	6.061
SM40	WA91	25.5	56	178	NA	74.8	109	11.4	6.542
SM40	MTi91	21.3	60	182	NA	72.5	99	11.9	6.222
SM40	MTd91	NA	NA	184	NA	NA	87	NA	4.123
SM40	NY92	NA	NA	175	5	NA	77.5	NA	5.945
SM40	ON92	NA	NA	199	0	NA	95	NA	3.39
SM40	WA92	25.5	54	156	NA	72.3	53	11.3	3.567
SM40	MA92	NA	NA	192	30	NA	84.5	NA	6.612
SM40	SKo92	NA	NA	185	50	NA	99	NA	9.0307
SM40	SKg92	NA	NA	187	NA	NA	40	NA	2.557
SM40	SKk92	NA	NA	192	NA	NA	66	NA	5.31
SM40	ID92	21.9	74	187	NA	73.4	81.3	13.2	5.887
SM41	MN92	24.8	71	149.5	NA	75.6	94	12.7	4.846
SM41	MTi92	23.8	86	172	85	75.4	101	12.8	5.915
SM41	MTd92	32.3	73	163.5	30	74.5	76	15.2	4.784
SM41	ID91	24.7	79	179	NA	73.3	124.5	14.6	8.395
SM41	OR91	18.6	56	189	NA	73.4	110	14.3	9.604
SM41	WA91	25.4	62	178	NA	74.2	136	12.7	3.837
SM41	MTi91	25.2	72	182	NA	71.8	101	14.3	4.871
SM41	MTd91	NA	NA	182	NA	NA	93	NA	2.635
SM41	NY92	NA	NA	174.5	10	NA	87.5	NA	5.086
SM41	ON92	NA	NA	201	0	NA	80	NA	3.32
SM41	WA92	23.3	48	154	NA	72.5	77.5	12.6	3.79
SM41	MA92	NA	NA	197.5	35	NA	90	NA	6.391
SM41	SKo92	NA	NA	185	40	NA	113	NA	6.9522
SM41	SKg92	NA	NA	186	NA	NA	52	NA	3.9107
SM41	SKk92	NA	NA	193	NA	NA	73	NA	5.4232
SM41	ID92	24.8	105	185	NA	73.2	81.3	14.5	4.897
SM42	MN92	30.8	69	146	NA	76.6	80.5	10	3.86
SM42	MTi92	33.4	87	169	70	76.8	104	12.5	6.045
SM42	MTd92	24.1	85	160.5	40	78.3	64.5	12.8	5.447
SM42	ID91	30.7	93	177	NA	74.8	114.3	13.5	7.352
SM42	OR91	21.8	69	189	NA	74.5	95	11.2	8.23
SM42	WA91	30.2	75	174.5	NA	77.1	124	11	5.524
SM42	MTi91	27.5	91	178	NA	72.3	104	13.4	5.31
SM42	MTd91	NA	NA	179	NA	NA	92	NA	3.141
SM42	NY92	NA	NA	169.5	10	NA	75	NA	5.089
SM42	ON92	NA	NA	200	60	NA	95	NA	3.9
SM42	WA92	28.7	55	152	NA	74.1	63.5	11.8	2.679
SM42	MA92	NA	NA	188.5	55	NA	81.5	NA	5.821
SM42	SKo92	NA	NA	182	70	NA	97	NA	6.8567
SM42	SKg92	NA	NA	182	NA	NA	47	NA	3.5473
SM42	SKk92	NA	NA	191	NA	NA	71	NA	5.3455
SM42	ID92	26.1	113	180	NA	73.5	81.3	13.3	4.975
SM43	MN92	24.4	57	156.5	NA	71.5	102	14	4.143
SM43	MTi92	27.7	67	175	95	73.4	110	12.1	5.251
SM43	MTd92	22.8	50	167.5	45	74.2	82	13.6	5.77
SM43	ID91	24	57	183	NA	72.8	121.9	14.4	6.651
SM43	OR91	16.3	53	191	NA	69.6	95	13.9	4.436
SM43	WA91	29.6	49	181.5	NA	73.2	139.5	11.7	4.493
SM43	MTi91	19.9	58	184	NA	69	110	13.7	5.131
SM43	MTd91	NA	NA	186	NA	NA	100	NA	2.104
SM43	NY92	NA	NA	180	20	NA	85	NA	4.863
SM43	ON92	NA	NA	198	90	NA	100	NA	2.01
SM43	WA92	24.4	40	160.5	NA	71.9	73.5	11.5	3.606
SM43	MA92	NA	NA	201	65	NA	102	NA	6.283
SM43	SKo92	NA	NA	190	90	NA	112	NA	7.1638
SM43	SKg92	NA	NA	194	NA	NA	73	NA	3.4611
SM43	SKk92	NA	NA	200	NA	NA	90	NA	5.0565
SM43	ID92	20.7	65	187	NA	71.1	91.4	13.8	4.645
SM44	MN92	30.1	70	157.5	NA	77.9	92.5	10.5	5.176
SM44	MTi92	30.5	81	174.5	0	78	109	11.3	6.728
SM44	MTd92	28.7	89	169.5	45	76.9	88.5	13.9	5.486
SM44	ID91	25.1	71	184	NA	76.9	111.8	12.7	8.851
SM44	OR91	23	89	191	NA	74.9	95	13.9	6.881
SM44	WA91	28.4	66	180	NA	78.4	125	11.9	7.499
SM44	MTi91	39.2	102	186	NA	75.1	109	12.8	6.858
SM44	MTd91	NA	NA	185	NA	NA	99	NA	3.381
SM44	NY92	NA	NA	180	0	NA	92.5	NA	6.568
SM44	ON92	NA	NA	200	50	NA	105	NA	3.55
SM44	WA92	28.8	66	160.5	NA	73.1	75	13.3	3.945
SM44	MA92	NA	NA	199	35	NA	96.5	NA	7.987
SM44	SKo92	NA	NA	193	10	NA	115	NA	10.5427
SM44	SKg92	NA	NA	191	NA	NA	66	NA	4.5123
SM44	SKk92	NA	NA	199	NA	NA	84	NA	5.2424
SM44	ID92	25.2	124	192	NA	73.9	88.9	14.6	4.96
SM45	MN92	32	55	158.5	NA	78.8	112	10	4.735
SM45	MTi92	37.6	96	175.5	50	80.2	119	12	5.331
SM45	MTd92	33.2	85	168.5	55	78.4	96.5	14.2	4.492
SM45	ID91	36.6	91	183	NA	76.8	124.5	13	8.113
SM45	OR91	23	88	191	NA	74.9	90	14.1	7.099
SM45	WA91	37.5	70	180	NA	77.8	138	11.1	5.708
SM45	MTi91	49.3	97	187	NA	76.3	119	13.3	5.042
SM45	MTd91	NA	NA	187	NA	NA	99	NA	2.413
SM45	NY92	NA	NA	182	0	NA	87.5	NA	5.306
SM45	ON92	NA	NA	204	0	NA	110	NA	2.93
SM45	WA92	34.4	62	158	NA	75.5	82.5	12.7	4.063
SM45	MA92	NA	NA	202	55	NA	100	NA	7.473
SM45	SKo92	NA	NA	194	40	NA	118	NA	7.3174
SM45	SKg92	NA	NA	191	NA	NA	78	NA	4.9821
SM45	SKk92	NA	NA	200	NA	NA	91	NA	5.3303
SM45	ID92	34.9	129	193	NA	73.6	91.4	15.1	4.038
SM46	MN92	27.6	62	149.5	NA	74.8	102.5	12.5	4.678
SM46	MTi92	31	88	173.5	55	75.9	117	12.3	5.271
SM46	MTd92	26	75	166	30	75.5	90.5	14	4.607
SM46	ID91	26.9	84	181	NA	72.4	132.1	14	5.558
SM46	OR91	19.6	63	189	NA	72.9	110	13	7.193
SM46	WA91	28.7	63	178	NA	75.5	138	11.2	3.943
SM46	MTi91	33.2	74	182	NA	73.3	117	12.3	5.341
SM46	MTd91	NA	NA	183	NA	NA	101	NA	2.763
SM46	NY92	NA	NA	174.5	35	NA	97.5	NA	5.602
SM46	ON92	NA	NA	199	50	NA	105	NA	3.44
SM46	WA92	23.9	50	155	NA	72.6	79	12.3	3.847
SM46	MA92	NA	NA	196	60	NA	97.5	NA	6.728
SM46	SKo92	NA	NA	187	80	NA	117	NA	4.5256
SM46	SKg92	NA	NA	186	NA	NA	59	NA	4.0932
SM46	SKk92	NA	NA	194	NA	NA	88	NA	5.0227
SM46	ID92	25.9	100	189	NA	72.1	88.9	13.7	4.695
SM48	MN92	36.1	89	147	NA	75.9	75	13.3	4.341
SM48	MTi92	31	75	168	0	78.4	91	13.1	5.917
SM48	MTd92	32.5	75	161	10	76.4	63.5	14.8	3.746
SM48	ID91	28.3	65	174	NA	75.6	96.5	13.2	8.499
SM48	OR91	24.7	80	186	NA	75	85	13.1	4.975
SM48	WA91	27.1	68	174	NA	77	97	12.5	5.508
SM48	MTi91	35.6	77	177	NA	75.2	91	13.5	6.403
SM48	MTd91	NA	NA	177	NA	NA	78	NA	4.056
SM48	NY92	NA	NA	169	5	NA	70	NA	5.337
SM48	ON92	NA	NA	200	0	NA	85	NA	3.51
SM48	WA92	27.3	52	152.5	NA	72.9	48	13.6	1.748
SM48	MA92	NA	NA	187.5	30	NA	65	NA	5.676
SM48	SKo92	NA	NA	186	10	NA	80	NA	6.785
SM48	SKg92	NA	NA	181	NA	NA	37	NA	2.5637
SM48	SKk92	NA	NA	188	NA	NA	58	NA	4.1557
SM48	ID92	24.3	94	180	NA	75	73.7	14.3	4.88
SM50	MN92	21.7	72	148.5	NA	76.5	93.5	11.2	4.651
SM50	MTi92	28.9	103	171	90	77.6	103	11.5	6.874
SM50	MTd92	27.4	105	161.5	5	76.4	70	15	4.673
SM50	ID91	27.7	97	177	NA	73.4	106.7	13.6	5.334
SM50	OR91	21.9	85	186	NA	75.9	85	12.1	5.623
SM50	WA91	22.1	72	178	NA	74.7	128	11.5	4.068
SM50	MTi91	35.6	116	181	NA	73.8	103	13.1	6.077
SM50	MTd91	NA	NA	179	NA	NA	89	NA	2.706
SM50	NY92	NA	NA	174.5	30	NA	87.5	NA	5.769
SM50	ON92	NA	NA	200	70	NA	95	NA	2.74
SM50	WA92	24.2	62	154	NA	74	67.5	10.9	3.359
SM50	MA92	NA	NA	192	50	NA	82	NA	5.59
SM50	SKo92	NA	NA	183	80	NA	104	NA	8.3823
SM50	SKg92	NA	NA	184	NA	NA	39	NA	2.6972
SM50	SKk92	NA	NA	192	NA	NA	71	NA	4.95
SM50	ID92	21.1	106	186	NA	73.7	71.1	13.3	4.922
SM54	MN92	34.3	83	144	NA	75.2	86.5	14.7	4.311
SM54	MTi92	36.9	99	168.5	45	78.3	107	14	5.397
SM54	MTd92	45.3	101	160	45	77.3	78.5	16.8	3.562
SM54	ID91	32.7	78	174.5	NA	73.6	108	14.4	7.103
SM54	OR91	33.4	108	187.5	NA	73.8	105	13.9	5.446
SM54	WA91	35.6	75	173	NA	74.9	120	14.2	4.638
SM54	MTi91	40.3	99	177	NA	74.1	104	14.8	6.032
SM54	MTd91	NA	NA	176	NA	NA	94	NA	3.593
SM54	NY92	NA	NA	169.5	15	NA	85	NA	4.375
SM54	ON92	NA	NA	204	0	NA	90	NA	3.9
SM54	WA92	34.3	60	151	NA	73.6	72.5	13.4	2.504
SM54	MA92	NA	NA	187.5	30	NA	85	NA	6.2
SM54	SKo92	NA	NA	187	60	NA	97	NA	6.1195
SM54	SKg92	NA	NA	183	NA	NA	45	NA	2.7851
SM54	SKk92	NA	NA	190	NA	NA	76	NA	4.0898
SM54	ID92	33.9	124	180	NA	74.4	76.2	15.1	4.705
SM55	MN92	27.7	99	148.5	NA	75.5	84	14.6	5.825
SM55	MTi92	29.9	105	168	55	78.3	101	11.7	6.814
SM55	MTd92	28.8	94	162	30	77.5	71.5	14.1	4.853
SM55	ID91	20.1	48	175	NA	76.7	109.2	12.3	10.119
SM55	OR91	24.8	108	186	NA	74.5	85	12.9	4.942
SM55	WA91	29	92	176.5	NA	75.1	118	12.1	5.012
SM55	MTi91	38.8	120	178	NA	75.4	101	13.1	6.171
SM55	MTd91	NA	NA	178	NA	NA	92	NA	3.606
SM55	NY92	NA	NA	171	10	NA	87.5	NA	6.35
SM55	ON92	NA	NA	202	0	NA	95	NA	3.53
SM55	WA92	26.4	71	153	NA	74.8	62	11.2	3.43
SM55	MA92	NA	NA	188.5	30	NA	85	NA	5.87
SM55	SKo92	NA	NA	184	30	NA	105	NA	9.4539
SM55	SKg92	NA	NA	182	NA	NA	53	NA	3.6504
SM55	SKk92	NA	NA	190	NA	NA	66	NA	5.0751
SM55	ID92	26.7	130	183	NA	75.3	66	13.6	4.906
SM56	MN92	19	50	159.5	NA	78.1	102.5	9.7	5.929
SM56	MTi92	32.5	92	176	65	79.9	103	10.7	6.478
SM56	MTd92	29.4	87	171.5	40	80.2	86.5	12.1	5.663
SM56	ID91	27.4	69	186	NA	78.5	104.1	12.7	8.983
SM56	OR91	27.1	104	196	NA	74.6	90	13.4	3.983
SM56	WA91	28.9	57	184	NA	77.8	123	9	6.631
SM56	MTi91	40	94	188	NA	76.6	103	12.2	5.328
SM56	MTd91	NA	NA	188	NA	NA	93	NA	3.089
SM56	NY92	NA	NA	182	0	NA	80	NA	6.217
SM56	ON92	NA	NA	201	0	NA	100	NA	2.73
SM56	WA92	25.9	63	161.5	NA	75.1	65	12.1	3.499
SM56	MA92	NA	NA	201.5	45	NA	94.5	NA	8.052
SM56	SKo92	NA	NA	194	60	NA	114	NA	7.6519
SM56	SKg92	NA	NA	195	NA	NA	52	NA	4.1152
SM56	SKk92	NA	NA	202	NA	NA	86	NA	5.6294
SM56	ID92	26.4	114	198	NA	74.1	94	14.6	4.269
SM57	MN92	24.3	49	156	NA	77	105.5	9.7	5.192
SM57	MTi92	32.9	88	173.5	90	78.4	113	11	5.218
SM57	MTd92	33	78	166.5	25	78.9	91.5	11.9	5.846
SM57	ID91	26.7	84	182.5	NA	75.7	127	13.5	7.302
SM57	OR91	24.6	72	191	NA	74.6	107.5	11.9	6.937
SM57	WA91	28.4	67	179	NA	74.8	141	11.7	3.684
SM57	MTi91	38	104	186	NA	71.8	113	13.3	5.474
SM57	MTd91	NA	NA	185	NA	NA	94	NA	2.098
SM57	NY92	NA	NA	180	15	NA	85	NA	5.342
SM57	ON92	NA	NA	198	50	NA	95	NA	3.7
SM57	WA92	29.2	58	158	NA	74.6	74	11.1	3.523
SM57	MA92	NA	NA	197.5	55	NA	97	NA	6.686
SM57	SKo92	NA	NA	191	60	NA	121	NA	8.4027
SM57	SKg92	NA	NA	191	NA	NA	60	NA	3.8718
SM57	SKk92	NA	NA	198	NA	NA	85	NA	5.795
SM57	ID92	21.6	127	192	NA	70.8	99.1	14.5	4.521
SM58	MN92	24.1	74	158	NA	75.1	113	13.4	4.308
SM58	MTi92	38.3	99	174.5	30	79.1	115	11.1	6.154
SM58	MTd92	34.7	119	167.5	35	74.2	88	16.3	4.647
SM58	ID91	31.2	94	182	NA	75.5	137.2	14.6	8.17
SM58	OR91	29.2	111	191	NA	73.8	85	14.5	3.942
SM58	WA91	35.2	70	182	NA	76.8	136	13.7	6.293
SM58	MTi91	40.9	91	185	NA	74.7	115	13	5.925
SM58	MTd91	NA	NA	186	NA	NA	100	NA	2.779
SM58	NY92	NA	NA	180	0	NA	100	NA	4.61
SM58	ON92	NA	NA	201	0	NA	105	NA	2.91
SM58	WA92	33	94	159.5	NA	74.7	72.5	13.3	3.358
SM58	MA92	NA	NA	201.5	50	NA	99	NA	7.477
SM58	SKo92	NA	NA	191	50	NA	127	NA	8.7782
SM58	SKg92	NA	NA	192	NA	NA	79	NA	4.5039
SM58	SKk92	NA	NA	199	NA	NA	90	NA	5.5263
SM58	ID92	27.1	125	190	NA	72.2	101.6	15.3	5.097
SM59	MN92	28.9	103	152	NA	79.1	93	11.2	4.567
SM59	MTi92	36.9	170	171	0	80	116	13.2	5.848
SM59	MTd92	35.9	202	165.5	55	77.6	91	16.9	3.916
SM59	ID91	30.7	144	178	NA	75.1	118.1	15.7	8.176
SM59	OR91	26.1	166	189	NA	75.4	92.5	14.6	5.846
SM59	WA91	29.1	131	178	NA	76.6	133	14.8	5.675
SM59	MTi91	43.2	177	183	NA	76.5	116	13.9	5.568
SM59	MTd91	NA	NA	183	NA	NA	102	NA	2.533
SM59	NY92	NA	NA	178.5	0	NA	92.5	NA	4.43
SM59	ON92	NA	NA	197	0	NA	110	NA	4
SM59	WA92	33.4	151	156	NA	74.1	78.5	16.4	3.04
SM59	MA92	NA	NA	199.5	25	NA	93	NA	6.348
SM59	SKo92	NA	NA	185	20	NA	123	NA	9.0614
SM59	SKg92	NA	NA	190	NA	NA	70	NA	3.7653
SM59	SKk92	NA	NA	196	NA	NA	88	NA	4.6813
SM59	ID92	33.3	229	190	NA	74.4	94	17	4.496
SM61	MN92	27.8	75	156	NA	77.6	103	13.2	5.296
SM61	MTi92	37.9	106	174	45	79.5	111	12.4	5.742
SM61	MTd92	25.6	86	166	50	75.9	93.5	14.2	5.153
SM61	ID91	36.1	96	179	NA	74.4	124.5	15	4.763
SM61	OR91	28.4	106	189	NA	73.6	90	14.5	4.425
SM61	WA91	35.1	87	178	NA	76.1	138	13	5.297
SM61	MTi91	42.1	95	184	NA	74.5	111	12.6	5.26
SM61	MTd91	NA	NA	183	NA	NA	102	NA	3.706
SM61	NY92	NA	NA	178	0	NA	87.5	NA	5.449
SM61	ON92	NA	NA	198	70	NA	100	NA	3.3
SM61	WA92	30.8	73	158	NA	72.7	76	13.4	3.778
SM61	MA92	NA	NA	199	40	NA	96	NA	6.77
SM61	SKo92	NA	NA	189	20	NA	123	NA	8.0546
SM61	SKg92	NA	NA	187	NA	NA	51	NA	3.9952
SM61	SKk92	NA	NA	197	NA	NA	79	NA	4.8486
SM61	ID92	31.2	148	190	NA	72.7	73.7	16.4	4.865
SM62	MN92	15.4	55	159	NA	73.7	107	12.6	5.943
SM62	MTi92	27.6	86	176	15	76.5	111	11.4	5.917
SM62	MTd92	33.5	87	169.5	20	76.5	85.5	14	4.82
SM62	ID91	24.3	69	185	NA	74	109.2	13.3	7.646
SM62	OR91	16.9	68	193	NA	71.9	115	14	7.406
SM62	WA91	19.8	57	183	NA	73.7	125	12.4	7.533
SM62	MTi91	36.3	88	186	NA	73.5	111	12.4	6.155
SM62	MTd91	NA	NA	187	NA	NA	100	NA	4.335
SM62	NY92	NA	NA	183.5	0	NA	97.5	NA	6.157
SM62	ON92	NA	NA	202	0	NA	105	NA	3.61
SM62	WA92	25.3	57	160.5	NA	73.2	72.5	12.3	3.183
SM62	MA92	NA	NA	203	50	NA	100	NA	8.002
SM62	SKo92	NA	NA	193	20	NA	128	NA	9.3686
SM62	SKg92	NA	NA	194	NA	NA	78	NA	4.6222
SM62	SKk92	NA	NA	201	NA	NA	92	NA	5.3286
SM62	ID92	24.2	112	196	NA	70.8	101.6	16.1	4.959
SM63	MN92	30.6	111	149.5	NA	75.2	91	11.6	5.747
SM63	MTi92	28	98	170	25	76.8	111	12.4	4.414
SM63	MTd92	26	92	163.5	30	77.3	92	14.4	3.859
SM63	ID91	25.4	85	178	NA	73.4	116.8	14.3	6.735
SM63	OR91	21.6	82	186	NA	73.2	110	13.9	5.315
SM63	WA91	25.7	66	176	NA	74.9	128	12.2	5.25
SM63	MTi91	37.3	96	179	NA	72.7	111	13	6.096
SM63	MTd91	NA	NA	183	NA	NA	107	NA	3.311
SM63	NY92	NA	NA	175	35	NA	87.5	NA	4.297
SM63	ON92	NA	NA	197	40	NA	95	NA	2.75
SM63	WA92	24.3	66	153.5	NA	72.6	81	11.5	3.311
SM63	MA92	NA	NA	194.5	50	NA	93.5	NA	6.983
SM63	SKo92	NA	NA	182	80	NA	114	NA	5.7474
SM63	SKg92	NA	NA	185	NA	NA	71	NA	3.914
SM63	SKk92	NA	NA	193	NA	NA	85	NA	5.048
SM63	ID92	25.9	114	187	NA	71.4	111.8	13.8	4.563
SM64	MN92	26.2	60	149.5	NA	74.6	89.5	11.5	6.01
SM64	MTi92	28.9	71	170.5	0	78	108	11.9	6.23
SM64	MTd92	26.7	61	163	50	76.9	79.5	13.5	6.145
SM64	ID91	27.6	75	178	NA	74.6	109.2	13.4	8.649
SM64	OR91	26.1	74	186	NA	71.1	90	13.5	3.396
SM64	WA91	29.3	58	176	NA	77.1	120	12.4	6.8
SM64	MTi91	41.4	81	179	NA	74.4	108	12.3	6.751
SM64	MTd91	NA	NA	183	NA	NA	95	NA	3.653
SM64	NY92	NA	NA	175	10	NA	92.5	NA	5.735
SM64	ON92	NA	NA	198	50	NA	85	NA	3.22
SM64	WA92	24.3	52	156	NA	72.5	57.5	12.3	3.215
SM64	MA92	NA	NA	197	25	NA	81	NA	7.381
SM64	SKo92	NA	NA	187	70	NA	105	NA	5.5836
SM64	SKg92	NA	NA	187	NA	NA	43	NA	3.9428
SM64	SKk92	NA	NA	194	NA	NA	80	NA	6.1584
SM64	ID92	33.1	94	187	NA	73.7	88.9	14.6	5.992
SM65	MN92	22.9	68	148.5	NA	75.6	93	11.2	5.683
SM65	MTi92	28.5	83	170.5	85	78.1	106	11.8	5.7
SM65	MTd92	29.9	71	163	50	78.6	86	12.2	5.808
SM65	ID91	27.7	78	179	NA	75.2	111.8	12.9	7.472
SM65	OR91	25	91	187.5	NA	73.5	92.5	13.4	4.809
SM65	WA91	32.6	73	178	NA	76.2	130.5	11.5	4.758
SM65	MTi91	35.1	87	179	NA	74.2	106	11.9	6.12
SM65	MTd91	NA	NA	181	NA	NA	94	NA	2.192
SM65	NY92	NA	NA	175	35	NA	85	NA	5.431
SM65	ON92	NA	NA	202	50	NA	95	NA	3.04
SM65	WA92	27	62	155.5	NA	75.2	67.5	10.7	3.473
SM65	MA92	NA	NA	192	40	NA	86.5	NA	6.943
SM65	SKo92	NA	NA	186	50	NA	107	NA	6.4983
SM65	SKg92	NA	NA	186	NA	NA	56	NA	3.6487
SM65	SKk92	NA	NA	194	NA	NA	66	NA	5.217
SM65	ID92	27	110	187	NA	74.5	86.4	14	3.682
SM67	MN92	25.1	68	143	NA	74.2	84.5	11.9	5.034
SM67	MTi92	25.8	79	166	75	77.6	101	12.5	5.875
SM67	MTd92	28.1	72	159	60	76.5	75	13.4	5.128
SM67	ID91	24.5	61	174	NA	75.9	111.8	12.7	9.86
SM67	OR91	22.4	74	186	NA	72.8	95	12.4	5.766
SM67	WA91	27.9	72	173	NA	74.6	120	12.9	4.488
SM67	MTi91	31.7	75	177	NA	73.8	101	12.2	5.864
SM67	MTd91	NA	NA	176	NA	NA	97	NA	4.015
SM67	NY92	NA	NA	169	0	NA	77.5	NA	4.96
SM67	ON92	NA	NA	201	50	NA	80	NA	3.57
SM67	WA92	26.1	60	150.5	NA	74.2	62.5	12.3	2.071
SM67	MA92	NA	NA	186	30	NA	78.5	NA	5.671
SM67	SKo92	NA	NA	185	30	NA	106	NA	7.9522
SM67	SKg92	NA	NA	180	NA	NA	60	NA	3.4408
SM67	SKk92	NA	NA	188	NA	NA	69	NA	4.1354
SM67	ID92	24.1	90	177	NA	72.9	73.7	13.2	4.568
SM68	MN92	28	101	161.5	NA	71	116	14.8	3.797
SM68	MTi92	29.5	123	177	75	78.2	125	12.2	4.313
SM68	MTd92	29.5	125	171	65	77.9	95	14.1	4.651
SM68	ID91	25.7	102	184	NA	74.6	127	14	6.544
SM68	OR91	27.7	118	196	NA	74.4	100	14.2	4.015
SM68	WA91	27.6	90	184	NA	76.6	141	12	5.219
SM68	MTi91	38.2	136	189	NA	74.4	125	12.9	4.766
SM68	MTd91	NA	NA	188	NA	NA	96	NA	1.985
SM68	NY92	NA	NA	182	0	NA	82.5	NA	5.567
SM68	ON92	NA	NA	206	40	NA	105	NA	2.85
SM68	WA92	29.2	71	162	NA	74.9	81.5	10.9	3.678
SM68	MA92	NA	NA	202.5	65	NA	106	NA	7.103
SM68	SKo92	NA	NA	194	80	NA	117	NA	8.2935
SM68	SKg92	NA	NA	194	NA	NA	62	NA	4.661
SM68	SKk92	NA	NA	203	NA	NA	100	NA	5.7122
SM68	ID92	28.5	149	195	NA	74.7	83.8	15.1	3.001
SM69	MN92	26.9	69	154.5	NA	75.6	91.5	11.6	5.684
SM69	MTi92	26.4	85	173.5	10	78.7	103	11.7	5.576
SM69	MTd92	27.7	78	166.5	45	78.5	84	13.5	4.827
SM69	ID91	26.1	73	181	NA	75.2	109.2	13.6	8.741
SM69	OR91	23.7	90	189	NA	73.1	85	13.7	5.209
SM69	WA91	32.3	69	180	NA	76.2	128	11.2	5.45
SM69	MTi91	35.6	85	184	NA	74.9	103	11.2	6.172
SM69	MTd91	NA	NA	184	NA	NA	98	NA	3.884
SM69	NY92	NA	NA	178	10	NA	87.5	NA	6.112
SM69	ON92	NA	NA	201	40	NA	95	NA	3.47
SM69	WA92	28.3	68	157	NA	75	66.5	11.8	3.604
SM69	MA92	NA	NA	198	40	NA	84.5	NA	7.225
SM69	SKo92	NA	NA	190	90	NA	117	NA	7.4403
SM69	SKg92	NA	NA	192	NA	NA	51	NA	2.2967
SM69	SKk92	NA	NA	197	NA	NA	79	NA	5.2846
SM69	ID92	25.2	104	190	NA	71.7	99.1	14.2	5.44
SM70	MN92	17.2	49	149.5	NA	73.6	92.5	11.5	5.872
SM70	MTi92	24.5	76	173	85	75.5	98	11.7	6.62
SM70	MTd92	24.4	64	166.5	10	77.2	80	12.6	5.72
SM70	ID91	24.1	67	180.5	NA	72.8	108	13.3	8.51
SM70	OR91	18.6	59	189	NA	72.9	87.5	12.3	7.011
SM70	WA91	27.1	67	179.5	NA	74.2	122.5	12.5	6.47
SM70	MTi91	32.5	82	182	NA	73.9	98	11.3	6.616
SM70	MTd91	NA	NA	184	NA	NA	88	NA	4.297
SM70	NY92	NA	NA	175	15	NA	77.5	NA	6.533
SM70	ON92	NA	NA	200	40	NA	90	NA	3.67
SM70	WA92	23.3	51	156	NA	71.9	57	10.7	4.436
