"expt"	"strain"	"rep"	"row"	"year"	"yield"	"col"
"WhiteFed"	"1441"	4	31	1940	612	5
"WhiteFed"	"313"	4	32	1940	623	5
"WhiteFed"	"2193"	4	35	1940	514	5
"WhiteFed"	"1617"	4	2	1940	635	1
"WhiteFed"	"2597"	4	7	1940	547	1
"WhiteFed"	"2061"	4	8	1940	542	1
"WhiteFed"	"33"	4	19	1940	614	3
"WhiteFed"	"1185"	4	23	1940	527	4
"WhiteFed"	"357"	4	34	1940	588	5
"WhiteFed"	"1741"	4	36	1940	618	5
"WhiteFed"	"957"	4	22	1940	585	3
"WhiteFed"	"437"	4	28	1940	518	4
"WhiteFed"	"WhiteFed"	4	5	1940	520	1
"WhiteFed"	"2417"	4	29	1940	661	4
"WhiteFed"	"2457"	4	3	1940	379	1
"WhiteFed"	"569"	4	27	1940	525	4
"WhiteFed"	"1717"	4	24	1940	545	4
"WhiteFed"	"5"	4	26	1940	529	4
"WhiteFed"	"1309"	4	30	1940	491	5
"WhiteFed"	"169"	4	21	1940	355	3
"WhiteFed"	"2029"	5	3	1940	665	1
"WhiteFed"	"153"	5	17	1940	630	3
"WhiteFed"	"1341"	5	9	1940	625	2
"WhiteFed"	"2453"	5	18	1940	692	3
"WhiteFed"	"1949"	5	36	1940	725	5
"WhiteFed"	"2249"	5	29	1940	600	4
"WhiteFed"	"873"	5	26	1940	649	4
"WhiteFed"	"2185"	5	12	1940	652	2
"WhiteFed"	"1809"	5	7	1940	678	1
"WhiteFed"	"1673"	5	27	1940	647	4
"WhiteFed"	"229"	5	20	1940	594	3
"WhiteFed"	"1825"	5	13	1940	594	2
"WhiteFed"	"2357"	5	6	1940	508	1
"WhiteFed"	"1785"	5	5	1940	630	1
"WhiteFed"	"257"	5	35	1940	620	5
"WhiteFed"	"1441"	5	23	1940	580	4
"WhiteFed"	"313"	5	14	1940	533	2
"WhiteFed"	"2193"	5	8	1940	601	1
"WhiteFed"	"1617"	5	30	1940	698	5
"WhiteFed"	"2597"	5	16	1940	526	3
"WhiteFed"	"2061"	5	10	1940	729	2
"WhiteFed"	"33"	5	28	1940	672	4
"WhiteFed"	"1185"	5	4	1940	622	1
"WhiteFed"	"357"	5	24	1940	642	4
"WhiteFed"	"1741"	5	25	1940	538	4
"WhiteFed"	"957"	5	34	1940	680	5
"WhiteFed"	"437"	5	22	1940	605	3
"WhiteFed"	"WhiteFed"	5	21	1940	573	3
"WhiteFed"	"2417"	5	15	1940	640	2
"WhiteFed"	"2457"	5	19	1940	521	3
"WhiteFed"	"569"	5	31	1940	570	5
"WhiteFed"	"1717"	5	32	1940	654	5
"WhiteFed"	"5"	5	33	1940	427	5
"WhiteFed"	"1309"	5	2	1940	565	1
"WhiteFed"	"169"	5	11	1940	429	2
