species	age	tree	day	water
S1	A1	T68	293	2.8
S2	A1	T69	161	0.98
S2	A1	T69	166	0.83
S2	A1	T69	170	0.94
S2	A1	T69	174	1.08
S2	A1	T69	178	0.88
S2	A1	T69	184	1.33
S2	A1	T69	189	1.17
S2	A1	T69	194	1
S2	A1	T69	199	1.35
S2	A1	T69	206	1.21
S2	A1	T69	212	1.15
S2	A1	T69	218	1.16
S2	A1	T69	222	1.31
S2	A1	T69	228	1.5
S2	A1	T69	236	1.3
S2	A1	T69	241	1.34
S2	A1	T69	246	1.24
S2	A1	T69	251	1.69
S2	A1	T69	256	0.89
S2	A1	T69	261	1.27
S2	A1	T69	268	0.67
S2	A1	T69	273	0.98
S2	A1	T69	278	0.88
S2	A1	T69	283	0.61
S2	A1	T69	288	0.78
S2	A1	T69	293	0.56
S1	A1	T70	161	0.97
S1	A1	T70	166	1.23
S1	A1	T70	170	0.99
S1	A1	T70	174	1.62
S1	A1	T70	178	1.51
S1	A1	T70	184	2.05
S1	A1	T70	189	2.14
S1	A1	T70	194	2.27
S1	A1	T70	199	2.49
S1	A1	T70	206	2.1
S1	A1	T70	212	3.06
S1	A1	T70	218	3.04
S1	A1	T70	222	3.21
S1	A1	T70	236	NA
S1	A1	T70	241	NA
S1	A1	T70	246	NA
S1	A1	T70	251	NA
S1	A1	T70	256	NA
S1	A1	T70	228	3.11
S1	A1	T70	261	3.33
S1	A1	T70	268	1.67
S1	A1	T70	273	2.83
S1	A1	T70	278	3.06
S1	A1	T70	283	1.94
S1	A1	T70	288	2.66
S1	A1	T70	293	2.36
S2	A2	T71	161	0.7
S2	A2	T71	166	1.67
S2	A2	T71	170	1.47
S2	A2	T71	174	2.02
S2	A2	T71	178	1.6
S2	A2	T71	184	2.23
S2	A2	T71	189	1.87
S2	A2	T71	194	2.06
S2	A2	T71	199	2.16
S2	A2	T71	206	1.37
S2	A2	T71	212	1.95
S2	A2	T71	218	1.95
S2	A2	T71	222	2.31
S2	A2	T71	228	2.21
S2	A2	T71	236	NA
S2	A2	T71	241	NA
S2	A2	T71	246	NA
S2	A2	T71	251	NA
S2	A2	T71	256	NA
S2	A2	T71	261	2.29
S2	A2	T71	268	1.16
S2	A2	T71	273	2.08
S2	A2	T71	278	1.63
S2	A2	T71	283	1.12
S2	A2	T71	288	0.04
S2	A2	T71	293	1
S1	A2	T72	161	2.67
S1	A2	T72	166	3.26
S1	A2	T72	170	3.29
S1	A2	T72	174	3
S1	A2	T72	178	2.94
S1	A2	T72	184	2.98
S1	A2	T72	189	3.14
S1	A2	T72	194	3.51
S1	A2	T72	199	2.84
S1	A2	T72	206	2.44
S1	A2	T72	212	4.46
S1	A2	T72	218	4.45
S1	A2	T72	222	4.11
S1	A2	T72	228	4.85
S1	A2	T72	236	NA
S1	A2	T72	241	NA
S1	A2	T72	246	NA
S1	A2	T72	251	NA
S1	A2	T72	256	NA
S1	A2	T72	261	4.07
S1	A2	T72	268	2.01
S1	A2	T72	273	3.5
S1	A2	T72	278	3.8
S1	A2	T72	283	2.74
S1	A2	T72	288	3.18
S1	A2	T72	293	2.82
