"isle"	"site"	"block"	"plot"	"trt"	"ears"	"yield"
"StVincent"	"SSSV"	"B1"	3	"T000"	NA	14.1
"StVincent"	"SSSV"	"B1"	4	"T220"	NA	9.7
"StVincent"	"SSSV"	"B1"	5	"T131"	NA	11.2
"StVincent"	"SSSV"	"B1"	6	"T111"	NA	13.1
"StVincent"	"SSSV"	"B1"	7	"T311"	NA	9.2
"StVincent"	"SSSV"	"B1"	8	"T113"	NA	13.1
"StVincent"	"SSSV"	"B1"	9	"T111"	NA	11.5
"StVincent"	"SSSV"	"B2"	10	"T111"	NA	11.2
"StVincent"	"SSSV"	"B2"	11	"T020"	NA	12.1
"StVincent"	"SSSV"	"B2"	12	"T002"	NA	11
"StVincent"	"SSSV"	"B2"	13	"T111"	NA	16.1
"StVincent"	"SSSV"	"B2"	14	"T200"	NA	12.5
"StVincent"	"SSSV"	"B2"	15	"T131"	NA	9.9
"StVincent"	"SSSV"	"B2"	16	"T222"	NA	17.5
"StVincent"	"SSSV"	"B2"	17	"T131"	NA	11.8
"StVincent"	"SSSV"	"B2"	18	"T311"	NA	12.2
"StVincent"	"SSSV"	"B3"	19	"T202"	NA	8.7
"StVincent"	"SSSV"	"B3"	20	"T131"	NA	16.4
"StVincent"	"SSSV"	"B3"	21	"T113"	NA	16.1
"StVincent"	"SSSV"	"B3"	22	"T220"	NA	9.1
"StVincent"	"SSSV"	"B3"	23	"T022"	NA	12.2
"StVincent"	"SSSV"	"B3"	24	"T111"	NA	12.4
"StVincent"	"SSSV"	"B3"	25	"T111"	NA	10
"StVincent"	"SSSV"	"B3"	26	"T000"	NA	12.3
"StVincent"	"SSSV"	"B3"	27	"T311"	NA	9
"StVincent"	"SSSV"	"B4"	28	"T111"	NA	15.2
"StVincent"	"SSSV"	"B4"	29	"T113"	NA	20.2
"StVincent"	"SSSV"	"B4"	30	"T020"	NA	13.7
"StVincent"	"SSSV"	"B4"	31	"T111"	NA	14.2
"StVincent"	"SSSV"	"B4"	32	"T200"	NA	14.5
"StVincent"	"SSSV"	"B4"	33	"T222"	NA	12
"StVincent"	"SSSV"	"B4"	34	"T002"	NA	11.5
"StVincent"	"SSSV"	"B4"	35	"T311"	NA	11.2
"StVincent"	"SSSV"	"B4"	36	"T131"	NA	10.2
"StVincent"	"UISV"	"B1"	1	"T202"	NA	15.4
"StVincent"	"UISV"	"B1"	2	"T000"	NA	12.2
"StVincent"	"UISV"	"B1"	3	"T220"	NA	26
"StVincent"	"UISV"	"B1"	4	"T111"	NA	20.1
"StVincent"	"UISV"	"B1"	5	"T022"	NA	14.1
"StVincent"	"UISV"	"B1"	6	"T131"	NA	21.8
"StVincent"	"UISV"	"B1"	7	"T113"	NA	20.1
"StVincent"	"UISV"	"B1"	8	"T311"	NA	28.1
"StVincent"	"UISV"	"B1"	9	"T111"	NA	23.1
"StVincent"	"UISV"	"B2"	10	"T311"	NA	22.4
"StVincent"	"UISV"	"B2"	11	"T113"	NA	28.9
"StVincent"	"UISV"	"B2"	12	"T111"	NA	19
"StVincent"	"UISV"	"B2"	13	"T131"	NA	21.4
"StVincent"	"UISV"	"B2"	14	"T111"	NA	20.5
"StVincent"	"UISV"	"B2"	15	"T020"	NA	14
"StVincent"	"UISV"	"B2"	16	"T200"	NA	29.5
"StVincent"	"UISV"	"B2"	17	"T002"	NA	13.3
"StVincent"	"UISV"	"B2"	18	"T222"	NA	23.7
"StVincent"	"UISV"	"B3"	19	"T202"	NA	25.1
"StVincent"	"UISV"	"B3"	20	"T220"	NA	30.1
"StVincent"	"UISV"	"B3"	21	"T111"	NA	23.1
"StVincent"	"UISV"	"B3"	22	"T113"	NA	24.5
"StVincent"	"UISV"	"B3"	23	"T131"	NA	17.8
"StVincent"	"UISV"	"B3"	24	"T022"	NA	15.1
"StVincent"	"UISV"	"B3"	25	"T311"	NA	25.8
"StVincent"	"UISV"	"B3"	26	"T111"	NA	23.2
"StVincent"	"UISV"	"B3"	27	"T000"	NA	17.2
"StVincent"	"UISV"	"B4"	28	"T113"	NA	20.4
"StVincent"	"UISV"	"B4"	29	"T111"	NA	22.5
"StVincent"	"UISV"	"B4"	30	"T200"	NA	22.2
"StVincent"	"UISV"	"B4"	31	"T311"	NA	26.8
"StVincent"	"UISV"	"B4"	32	"T131"	NA	23
"StVincent"	"UISV"	"B4"	33	"T002"	NA	11.4
"StVincent"	"UISV"	"B4"	34	"T020"	NA	19.5
"StVincent"	"UISV"	"B4"	35	"T222"	NA	25.5
"StVincent"	"UISV"	"B4"	36	"T111"	NA	19.8
"StVincent"	"OOSV"	"B1"	1	"T111"	NA	16
"StVincent"	"OOSV"	"B1"	2	"T000"	NA	12
"StVincent"	"OOSV"	"B1"	3	"T113"	NA	21.1
"StVincent"	"OOSV"	"B1"	4	"T311"	NA	22.1
"StVincent"	"OOSV"	"B1"	5	"T111"	NA	20
"StVincent"	"OOSV"	"B1"	6	"T220"	NA	23.2
"StVincent"	"OOSV"	"B1"	7	"T202"	NA	20.6
"StVincent"	"OOSV"	"B1"	8	"T131"	NA	12.8
"StVincent"	"OOSV"	"B1"	9	"T022"	NA	9
"StVincent"	"OOSV"	"B2"	10	"T020"	NA	12.3
"StVincent"	"OOSV"	"B2"	11	"T002"	NA	11
"StVincent"	"OOSV"	"B2"	12	"T111"	NA	17
"StVincent"	"OOSV"	"B2"	13	"T113"	NA	24
"StVincent"	"OOSV"	"B2"	14	"T311"	NA	28.5
"StVincent"	"OOSV"	"B2"	15	"T200"	NA	25.7
"StVincent"	"OOSV"	"B2"	16	"T111"	NA	13.1
"StVincent"	"OOSV"	"B2"	17	"T222"	NA	16.3
"StVincent"	"OOSV"	"B2"	18	"T131"	NA	15
"StVincent"	"OOSV"	"B3"	19	"T131"	NA	13.1
"StVincent"	"OOSV"	"B3"	20	"T022"	NA	10
"StVincent"	"OOSV"	"B3"	21	"T202"	NA	14
"StVincent"	"OOSV"	"B3"	22	"T220"	NA	18.8
"StVincent"	"OOSV"	"B3"	23	"T111"	NA	14
"StVincent"	"OOSV"	"B3"	24	"T113"	NA	11
"StVincent"	"OOSV"	"B3"	25	"T111"	NA	18.1
"StVincent"	"OOSV"	"B3"	26	"T000"	NA	12.1
"StVincent"	"OOSV"	"B3"	27	"T311"	NA	28
"StVincent"	"OOSV"	"B4"	28	"T311"	NA	20.6
"StVincent"	"OOSV"	"B4"	29	"T113"	NA	10.1
"StVincent"	"OOSV"	"B4"	30	"T200"	NA	19.2
"StVincent"	"OOSV"	"B4"	31	"T002"	NA	7.6
"StVincent"	"OOSV"	"B4"	32	"T020"	NA	8.2
"StVincent"	"OOSV"	"B4"	33	"T222"	NA	23.1
"StVincent"	"OOSV"	"B4"	34	"T111"	NA	15.8
"StVincent"	"OOSV"	"B4"	35	"T111"	NA	18.6
"StVincent"	"OOSV"	"B4"	36	"T113"	NA	20
"StVincent"	"OTSV"	"B1"	1	"T022"	NA	12.2
"StVincent"	"OTSV"	"B1"	2	"T113"	NA	19.8
"StVincent"	"OTSV"	"B1"	3	"T131"	NA	19.9
"StVincent"	"OTSV"	"B1"	4	"T311"	NA	25.3
"StVincent"	"OTSV"	"B1"	5	"T111"	NA	19
"StVincent"	"OTSV"	"B1"	6	"T111"	NA	20.5
"StVincent"	"OTSV"	"B1"	7	"T000"	NA	7.8
"StVincent"	"OTSV"	"B1"	8	"T202"	NA	17.8
"StVincent"	"OTSV"	"B1"	9	"T220"	NA	19.7
"StVincent"	"OTSV"	"B2"	10	"T020"	NA	13.1
"StVincent"	"OTSV"	"B2"	11	"T311"	NA	22.4
"StVincent"	"OTSV"	"B2"	12	"T113"	NA	23.2
"StVincent"	"OTSV"	"B2"	13	"T111"	NA	17.8
"StVincent"	"OTSV"	"B2"	14	"T200"	NA	20
"StVincent"	"OTSV"	"B2"	15	"T002"	NA	20
"StVincent"	"OTSV"	"B2"	16	"T131"	NA	15.6
"StVincent"	"OTSV"	"B2"	17	"T222"	NA	15.7
"StVincent"	"OTSV"	"B2"	18	"T111"	NA	29.1
"StVincent"	"OTSV"	"B3"	19	"T311"	NA	13.1
"StVincent"	"OTSV"	"B3"	20	"T022"	NA	20.4
"StVincent"	"OTSV"	"B3"	21	"T111"	NA	10.8
"StVincent"	"OTSV"	"B3"	22	"T000"	NA	18.4
"StVincent"	"OTSV"	"B3"	23	"T220"	NA	14
"StVincent"	"OTSV"	"B3"	24	"T131"	NA	14.2
"StVincent"	"OTSV"	"B3"	25	"T111"	NA	14.1
"StVincent"	"OTSV"	"B3"	26	"T113"	NA	18.4
"StVincent"	"OTSV"	"B3"	27	"T202"	NA	20.5
"StVincent"	"OTSV"	"B4"	28	"T113"	NA	13
"StVincent"	"OTSV"	"B4"	29	"T020"	NA	8.4
"StVincent"	"OTSV"	"B4"	30	"T002"	NA	10
"StVincent"	"OTSV"	"B4"	31	"T311"	NA	14.1
"StVincent"	"OTSV"	"B4"	32	"T200"	NA	18.1
"StVincent"	"OTSV"	"B4"	33	"T222"	NA	22.2
"StVincent"	"OTSV"	"B4"	34	"T131"	NA	14.2
"StVincent"	"OTSV"	"B4"	35	"T111"	NA	12.1
"StVincent"	"OTSV"	"B4"	36	"T111"	NA	13
"StVincent"	"LPSV"	"B1"	1	"T311"	NA	14.2
"StVincent"	"LPSV"	"B1"	2	"T111"	NA	8.2
"StVincent"	"LPSV"	"B1"	3	"T220"	NA	3.5
"StVincent"	"LPSV"	"B1"	4	"T022"	NA	7.2
"StVincent"	"LPSV"	"B1"	5	"T131"	NA	9.2
"StVincent"	"LPSV"	"B1"	6	"T202"	NA	8.5
"StVincent"	"LPSV"	"B1"	7	"T111"	NA	6.7
"StVincent"	"LPSV"	"B1"	8	"T000"	NA	7.5
"StVincent"	"LPSV"	"B1"	9	"T113"	NA	14.2
"StVincent"	"LPSV"	"B2"	10	"T111"	NA	4.5
"StVincent"	"LPSV"	"B2"	11	"T200"	NA	8
"StVincent"	"LPSV"	"B2"	12	"T222"	NA	5.5
"StVincent"	"LPSV"	"B2"	13	"T131"	NA	9.1
"StVincent"	"LPSV"	"B2"	14	"T111"	NA	7.2
"StVincent"	"LPSV"	"B2"	15	"T311"	NA	8.7
"StVincent"	"LPSV"	"B2"	16	"T020"	NA	6.1
"StVincent"	"LPSV"	"B2"	17	"T113"	NA	16.3
"StVincent"	"LPSV"	"B2"	18	"T002"	NA	15.2
"StVincent"	"LPSV"	"B3"	19	"T111"	NA	7.1
"StVincent"	"LPSV"	"B3"	20	"T000"	NA	6.1
"StVincent"	"LPSV"	"B3"	21	"T220"	NA	16
"StVincent"	"LPSV"	"B3"	22	"T202"	NA	16.8
"StVincent"	"LPSV"	"B3"	23	"T131"	NA	13.5
"StVincent"	"LPSV"	"B3"	24	"T022"	NA	8.8
"StVincent"	"LPSV"	"B3"	25	"T111"	NA	18.2
"StVincent"	"LPSV"	"B3"	26	"T311"	NA	13.5
"StVincent"	"LPSV"	"B3"	27	"T113"	NA	15.9
"StVincent"	"LPSV"	"B4"	28	"T111"	NA	17.5
"StVincent"	"LPSV"	"B4"	29	"T113"	NA	11
"StVincent"	"LPSV"	"B4"	30	"T131"	NA	11.4
"StVincent"	"LPSV"	"B4"	31	"T111"	NA	14.9
"StVincent"	"LPSV"	"B4"	32	"T200"	NA	24.5
"StVincent"	"LPSV"	"B4"	33	"T002"	NA	9
"StVincent"	"LPSV"	"B4"	34	"T020"	NA	7.1
"StVincent"	"LPSV"	"B4"	35	"T222"	NA	12.9
"StVincent"	"LPSV"	"B4"	36	"T311"	NA	6.8
