env	loc	year	gen	yield	height	lodging	size	protein	oil
N71	Nambour	1971	G21	2.433	0.765	1.5	7.35	41.1	18.265
N71	Nambour	1971	G22	2.155	0.725	1.5	6.75	44.1	16.145
N71	Nambour	1971	G23	1.891	0.75	1.25	6.2	42.05	16.83
N71	Nambour	1971	G24	2.46	0.62	1.25	8.9	42.55	18.745
N71	Nambour	1971	G25	2.618	0.635	1	8.8	40.1	22.35
N71	Nambour	1971	G26	2.153	0.535	1	9.8	42.15	18.965
N71	Nambour	1971	G27	2.659	0.57	1	10.7	43.8	19.31
N71	Nambour	1971	G28	1.862	0.75	1.5	6.85	38.45	20.005
N71	Nambour	1971	G29	2.567	0.785	2	9.3	41.55	19.515
N71	Nambour	1971	G30	1.284	0.825	2.25	7.65	46.65	16.935
N71	Nambour	1971	G31	1.991	0.815	1.25	7.05	40.35	18.25
N71	Nambour	1971	G32	2.707	0.835	1.75	9.65	41.95	19.08
N71	Nambour	1971	G33	2.624	0.74	1.5	8.8	38.05	20.375
N71	Nambour	1971	G34	2.333	0.835	1.75	7.3	42.05	18.775
N71	Nambour	1971	G35	2.296	0.76	1.25	7.25	41.65	18.06
N71	Nambour	1971	G36	2.257	0.735	1.75	7.6	42.05	18.775
N71	Nambour	1971	G37	2.029	0.875	1.75	7.15	42.5	18.23
N71	Nambour	1971	G38	2.377	0.57	1	8.25	41.35	19.53
N71	Nambour	1971	G39	2.46	0.88	1.75	7.35	40.55	19.445
N71	Nambour	1971	G40	2.393	0.675	1.5	9.25	43.65	19.175
N71	Nambour	1971	G41	2.341	0.785	1	9	39.9	21.45
N71	Nambour	1971	G42	2.583	0.775	1.25	16.1	44.75	19.955
N71	Nambour	1971	G43	2.086	0.785	1.5	7.1	41.4	17.905
N71	Nambour	1971	G44	2.037	0.395	1	17	38.85	22.52
N71	Nambour	1971	G45	2.815	0.42	1	17.15	38.85	22.495
N71	Nambour	1971	G46	2.255	0.435	1	17.25	39	22.745
N71	Nambour	1971	G47	2.349	0.365	1	18.4	40.85	21.47
N71	Nambour	1971	G48	2.516	0.445	1	14.85	38.8	23.82
N71	Nambour	1971	G49	3.329	0.535	1	19.9	39	23.175
N71	Nambour	1971	G50	2.891	0.34	1	16.75	43.15	22.555
N71	Nambour	1971	G51	1.279	0.41	1	21	42.6	21.55
N71	Nambour	1971	G52	1.289	0.355	1	16.7	40.25	22.555
N71	Nambour	1971	G53	3.16	0.42	1	21.8	41.75	22.63
N71	Nambour	1971	G54	1.751	0.355	1	20.15	40.65	23.5
N71	Nambour	1971	G55	1.808	0.25	1	19.55	43.3	22.17
N71	Nambour	1971	G56	2.565	0.345	1	19.2	42.4	21.405
N71	Nambour	1971	G57	2.344	0.395	1	18.7	41.2	22.125
N71	Nambour	1971	G58	1.334	0.365	1	20.1	40.75	22.8
R71	RedlandBay	1971	G01	1.179	0.97	2.25	6.75	42.1	16.855
R71	RedlandBay	1971	G02	1.897	0.74	1.75	7.95	42.7	18.86
R71	RedlandBay	1971	G03	2.023	0.835	1.5	9.1	39.85	19.67
R71	RedlandBay	1971	G04	2.166	0.965	1.75	10.5	40.4	20.36
R71	RedlandBay	1971	G05	2.435	0.835	1.5	10.6	37.75	21.42
R71	RedlandBay	1971	G06	2.21	0.825	1.5	9.75	39.05	20.4
R71	RedlandBay	1971	G07	2.766	0.86	1.5	10.05	39.9	20.515
R71	RedlandBay	1971	G08	2.347	0.835	2	9	40.7	19.19
R71	RedlandBay	1971	G09	2.495	0.885	1.5	10.15	40.35	19.54
R71	RedlandBay	1971	G10	2.887	0.8	1.75	10.55	39.45	19.675
R71	RedlandBay	1971	G11	0.861	0.99	3.25	4.9	46.9	16.45
R71	RedlandBay	1971	G12	0.991	0.91	2.5	5.05	45.3	15.47
R71	RedlandBay	1971	G13	1.147	1.04	3	5.85	47.5	15.305
R71	RedlandBay	1971	G14	0.667	0.885	2	5.45	44.9	14.98
R71	RedlandBay	1971	G15	1.517	0.99	2.25	6.75	44.2	17.03
R71	RedlandBay	1971	G16	1.442	0.94	2.25	6.3	43.15	17.42
R71	RedlandBay	1971	G17	0.913	1.045	3.25	6.1	47.75	15.99
R71	RedlandBay	1971	G18	1.03	0.915	2.75	6.95	45.25	17.195
R71	RedlandBay	1971	G19	1.125	0.94	2.75	5.75	44.8	16.465
R71	RedlandBay	1971	G20	1.144	0.955	3.25	6.95	46.05	16.615
R71	RedlandBay	1971	G21	0.944	1.07	3	6.8	46.8	16.48
R71	RedlandBay	1971	G22	1.521	0.99	3	6.9	47.45	15.26
R71	RedlandBay	1971	G23	0.842	0.99	2.75	5.2	46.95	14.64
R71	RedlandBay	1971	G24	1.523	0.915	2	8.3	41.95	18.515
R71	RedlandBay	1971	G25	1.751	0.9	2	8.05	41.5	19.055
R71	RedlandBay	1971	G26	2.118	0.825	1.5	8.85	44.05	17.475
R71	RedlandBay	1971	G27	2.392	0.875	1.75	9.45	42.05	18.105
R71	RedlandBay	1971	G28	0.928	0.885	2.25	7.3	42.8	17.545
R71	RedlandBay	1971	G29	1.666	1.27	3	8.05	43.7	19.475
R71	RedlandBay	1971	G30	1.103	0.965	2.5	5.9	48	15.97
R71	RedlandBay	1971	G31	0.996	0.915	2.25	7.75	44.8	17.38
R71	RedlandBay	1971	G32	1.846	1.4	2.5	7.85	46.05	16.485
R71	RedlandBay	1971	G33	1.986	0.885	2.25	8	42.8	17.975
R71	RedlandBay	1971	G34	1.574	1.08	2	6.9	45.8	16.085
R71	RedlandBay	1971	G35	1.346	1.28	2	7.9	44.8	16.49
R71	RedlandBay	1971	G36	0.976	0.925	2.75	5.95	47.8	15.545
R71	RedlandBay	1971	G37	1.346	0.98	3	6.5	48.1	15.815
R71	RedlandBay	1971	G38	1.515	0.785	2	7.7	42.7	17.285
R71	RedlandBay	1971	G39	1.369	1.4	2.5	7.4	45.4	17.235
R71	RedlandBay	1971	G40	1.203	1.02	2	8.05	44.5	17.645
R71	RedlandBay	1971	G41	1.951	0.965	2.25	10.3	44.3	18.88
R71	RedlandBay	1971	G42	2.613	0.81	2.5	14.9	43.45	19.815
R71	RedlandBay	1971	G43	1.496	0.925	2.5	7.05	43.95	18.42
R71	RedlandBay	1971	G44	2.707	0.635	1.25	14.9	38.55	21.66
R71	RedlandBay	1971	G45	1.905	0.61	1	13.3	39.3	21.665
R71	RedlandBay	1971	G46	1.983	0.61	1	13.25	36.95	22.515
R71	RedlandBay	1971	G47	3.005	0.61	1	17.65	40.55	22.41
R71	RedlandBay	1971	G48	2.812	0.665	1.5	14.15	40.25	22.21
R71	RedlandBay	1971	G49	3.998	0.905	1.75	17.2	36.6	22.61
R71	RedlandBay	1971	G50	2.755	0.505	1.5	14.45	41.5	21.82
R71	RedlandBay	1971	G51	1.752	0.56	1	18.25	40.35	21.31
R71	RedlandBay	1971	G52	1.919	0.545	1	14.5	37.95	22.205
R71	RedlandBay	1971	G53	2.174	0.61	1	13.85	39.05	22.525
R71	RedlandBay	1971	G54	2.169	0.575	1	16.8	38.6	24.25
R71	RedlandBay	1971	G55	2.056	0.33	1	15.15	40.45	21.545
R71	RedlandBay	1971	G56	1.916	0.52	1	12.2	40.6	20.39
R71	RedlandBay	1971	G57	2.166	0.445	1	15.75	42.15	21.435
R71	RedlandBay	1971	G58	2.298	0.65	1.25	13	37.35	22.27
